Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
TROYCA;17;8.341;245;5615;15810;262;52145214
Nexus;20;8.261;325;287;749894;16638;4.00533E+11
J.C.Staff;11;8.251;329;1009;257455;1751;1.34792E+11
Bones;25;8.241;346;293;722368;7278;3.57725E+11
8bit;24;8.201;396;265;785553;13619;4.23829E+11
Brain's Base;13;8.121;495;2117;106764;618;3923539235
P.A. Works;12;8.111;514;832;311852;3315;1.39708E+11
Kyoto Animation;13;8.091;542;2966;61826;455;1872218722
Drive;20;8.091;537;875;301816;1632;1.13327E+11
Pierrot;24;7.861;897;2192;102329;1089;3056330563
Project No.9;12;7.831;977;688;364620;6033;1.95546E+11
Orange;12;7.831;967;1245;206544;2390;7830278302
Bandai Namco Pictures;21;7.821;981;1213;213315;1299;9212192121
Atelier Pontdarc;13;7.771;1106;646;389320;2168;1.7823E+11
Lay-duce;13;7.751;1150;539;448303;3063;2.33486E+11
Studio Bind;12;7.651;1435;1507;167368;2384;7961979619
MAPPA;12;7.651;1424;947;271678;2043;1.44502E+11
LIDENFILMS;13;7.641;1459;641;390353;2546;1.7128E+11
Toei Animation;50;7.611;1554;6384;11386;157;38543854
Zero-G;12;7.551;1778;1048;245801;1937;1.23935E+11
PINE JAM;12;7.551;1749;1144;226739;1642;8923489234
A-1 Pictures;12;7.531;1864;827;313008;2298;8577785777
Diomedéa;12;7.471;2080;1236;208180;1638;9913299132
J.C.Staff;12;7.471;2077;1822;130878;982;5394253942
OLM;12;7.461;2127;849;307294;2060;1.29855E+11
Madhouse;12;7.451;2155;3932;36230;122;1324413244
David Production;23;7.411;2328;1333;191595;1235;5155751557
TMS Entertainment;25;7.411;2331;4466;27815;148;95309530
C2C;12;7.391;2420;1292;197644;768;9119691196
SANZIGEN;12;7.371;2495;5698;15258;135;58205820
Brain's Base;12;7.361;2531;1457;172777;591;5091450914
Zero-G;12;7.321;2747;1117;232679;1241;9487694876
Bandai Namco Pictures;12;7.251;3087;2656;74703;256;2604126041
Tezuka Productions;12;7.231;3203;2198;101869;473;3850438504
SILVER LINK.;12;7.211;3303;1028;252147;1340;8862388623
Studio Hibari;12;7.161;3589;1841;128830;625;4297342973
Studio Blanc.;13;7.121;3819;1063;242849;979;1.25277E+11
Bakken Record;13;7.091;3946;4682;24981;53;84188418
CloverWorks;12;7.051;4151;6468;11045;98;33073307
Encourage Films;12;7.011;4326;1515;166854;559;8090880908
Felix Film;12;6.941;4643;2130;105648;314;5157551575
SILVER LINK.;12;6.861;5014;668;375419;4010;1.14121E+11
Gallop;28;6.821;5250;7143;8714;30;29302930
Maho Film;12;6.811;5301;1847;128473;761;5279052790
Sunrise;12;6.801;5328;6016;13269;44;52175217
Toei Animation;67;6.741;5669;4694;24779;165;72627262
Zexcs;50;6.741;5680;7853;6857;36;15791579
Kinema Citrus;12;6.711;5842;8715;5331;20;14151415
Polygon Pictures;11;6.681;6016;3246;51692;172;1541715417
Ajia-do;12;6.671;6092;2422;86847;279;2897028970
Ashi Productions;13;6.611;6442;3400;47443;127;1403714037
Studio Comet;12;6.561;6719;1541;162816;628;7430574305
LIDENFILMS;24;6.551;6798;5804;14592;71;23692369
OLM;15;6.551;6765;9038;4795;16;13681368
Doga Kobo;12;6.531;6908;5576;16093;82;36443644
Connect;12;6.431;7542;2550;80110;305;2095520955
feel.;12;6.401;7677;1588;157225;709;4530745307
Cloud Hearts;12;6.351;7993;1341;190323;808;9092990929
Signal.MD;10;6.331;8087;3405;47442;103;1355513555
Geek Toys;12;6.331;8122;1366;187793;699;7813178131
ENGI;8;6.261;8492;3183;53781;224;59635963
Studio Deen;12;6.151;9132;5373;17747;60;35453545
Asahi Production;12;6.041;9732;3443;46582;90;1453714537
Tatsunoko Production;12;5.641;11639;3798;39079;123;97959795
Hotline;12;5.461;12231;1995;116625;588;4693646936
ILCA;13;5.251;12807;12066;1902;12;168168
Gaina;6;5.161;12979;9099;4715;34;300300
Quad;12;5.051;13159;1860;127883;669;5076450764
MAPPA;24;8.811;32;298;715626;17161;3.88818E+11
Doga Kobo;11;8.591;103;198;922442;30208;5.43513E+11
Shin-Ei Animation;12;8.231;363;683;369377;5473;1.88156E+11
Production I.G;13;8.211;382;428;552208;6732;2.54645E+11
ufotable;11;8.191;408;187;957084;9555;5.66255E+11
TMS Entertainment;11;8.151;461;454;522103;3215;2.37635E+11
P.A. Works;12;8.121;499;870;302493;3513;1.40331E+11
Brain's Base;13;8.121;495;2117;106775;618;3924339243
MAPPA;13;8.091;530;258;794047;8651;4.26563E+11
LIDENFILMS;13;8.071;572;1078;240522;2214;9221692216
J.C.Staff;24;7.941;749;2401;87829;628;2758127581
Sunrise;12;7.911;794;2241;98634;803;5524455244
Madhouse;13;7.781;1083;508;471330;4763;2.44086E+11
Studio Kafka;12;7.761;1123;1282;199021;1063;6612666126
CygamesPictures;12;7.691;1312;5470;16970;163;71957195
A-1 Pictures;12;7.621;1516;328;674737;4360;3.72385E+11
Toei Animation;50;7.611;1554;6384;11386;157;38543854
Seven Arcs;12;7.611;1567;967;268122;2479;9160891608
Bandai Namco Pictures;12;7.561;1706;3927;36331;174;1599615996
PINE JAM;12;7.551;1749;1144;226739;1642;8923489234
A-1 Pictures;12;7.531;1865;827;313008;2298;8577785777
Typhoon Graphics;12;7.531;1859;1499;168591;1532;7667576675
Studio Signpost;13;7.511;1917;2695;73072;297;3248232482
Drive;12;7.501;1974;715;355873;1917;1.48051E+11
J.C.Staff;25;7.431;2233;2641;75284;307;2012220122
Wit Studio;10;7.341;2624;1651;149123;621;4178341783
Lerche;12;7.311;2803;5584;16040;89;54355435
Tezuka Productions;12;7.311;2766;1693;143993;679;6343263432
EMT Squared;12;7.281;2904;2418;87173;440;3368633686
Geek Toys;12;7.271;3007;1003;259566;1242;1.11687E+11
C2C;12;7.261;3030;2777;69512;205;2499124991
Nippon Animation;24;7.161;3575;2927;63080;272;1698316983
Asahi Production;12;7.151;3632;1558;161103;611;6188361883
Tezuka Productions;12;7.081;4031;1751;137313;460;5028450284
OLM;24;6.981;4461;7308;8245;18;24622462
SILVER LINK.;12;6.861;5014;668;375419;4010;1.14121E+11
Gallop;28;6.821;5250;7143;8714;30;29302930
SynergySP;12;6.811;5302;3552;44344;137;1429114291
Yumeta Company;12;6.711;5866;5612;15836;59;45804580
Studio Palette;12;6.701;5889;1220;211677;736;9152591525
Magic Bus;12;6.681;6052;1300;196420;994;9974199741
Passione;12;6.681;6057;3039;58847;305;2141321413
LIDENFILMS;12;6.611;6433;1735;139610;396;5608456084
Connect;12;6.431;7542;2550;80110;305;2095520955
J.C.Staff;12;6.421;7582;1597;155872;1045;6287362873
Satelight;12;6.411;7643;3071;57739;118;2270522705
Millepensee;13;6.341;8070;745;341762;2251;1.80908E+11
Gekkou;12;6.321;8168;2007;115586;460;4249042490
Bibury Animation Studios;12;6.261;8500;2563;79100;236;2351723517
soket;96;6.121;9256;13652;1173;5;150150
Studio Deen;12;6.081;9488;6256;11956;38;25072507
Lesprit;15;5.741;11181;15178;764;1;156156
C-Station;12;5.731;11262;6795;9868;43;20312031
Nomad;12;5.721;11280;6471;11024;12;30543054
Studio Elle;12;5.671;11531;1461;172014;760;6543465434
Studio 3Hz;12;5.501;12096;4858;22869;65;63366336
None found;5;5.491;12123;18143;406;1;126126
Wit Studio;12;5.251;12807;5311;18413;72;47814781
MAPPA;23;8.761;44;138;1144117;24010;6.43666E+11
Bones;11;8.631;86;1189;218127;2665;9964599645
SANZIGEN;13;8.241;345;4306;29928;788;1379213792
Studio Bind;12;8.231;361;346;654818;7377;3.7281E+11
CloverWorks;13;8.151;464;664;377812;2848;1.66692E+11
J.C.Staff;24;7.941;749;2401;87829;628;2758127581
Lapin Track;13;7.861;902;1519;166239;844;6918669186
OLM;25;7.841;955;1555;161196;1187;4942049420
BUG FILMS;12;7.751;1152;382;606897;4116;2.85154E+11
Kinema Citrus;12;7.731;1228;780;330781;3131;1.65843E+11
GoHands;13;7.651;1414;2024;114511;708;4460744607
J.C.Staff;12;7.641;1458;2795;68882;349;2995429954
LIDENFILMS;24;7.621;1522;1767;136292;896;4648146481
J.C.Staff;12;7.621;1505;2331;92140;335;3166531665
Toei Animation;50;7.611;1554;6384;11386;157;38543854
J.C.Staff;25;7.431;2233;2641;75284;307;2012220122
Doga Kobo;12;7.371;2500;2366;90135;442;3233432334
Bandai Namco Pictures;12;7.341;2618;3769;39702;109;1625516255
Satelight;24;7.281;2942;2081;110049;327;4187941879
SILVER LINK.;12;7.231;3217;1135;228982;1316;8827888278
Nippon Animation;24;7.161;3575;2927;63080;272;1698316983
SILVER LINK.;12;7.151;3624;2435;86250;213;3612836128
feel.;12;7.151;3605;3397;47538;101;1661916619
GoHands;13;7.141;3693;1208;214118;1467;8173881738
Yokohama Animation Laboratory;12;7.111;3861;1859;127940;364;6519865198
OLM;12;7.111;3860;2099;108457;506;4841248412
TMS Entertainment;12;7.031;4245;1321;193481;1006;8646886468
OLM;24;6.981;4461;7308;8245;18;24622462
Project No.9;12;6.901;4835;1889;125138;449;4574045740
Sunrise;13;6.861;5037;3700;41193;180;1240612406
SILVER LINK.;12;6.861;5014;668;375419;4010;1.14121E+11
8bit;12;6.821;5215;3314;50116;176;1311013110
Zexcs;25;6.781;5440;10320;3169;11;736736
Pie in the sky;12;6.731;5753;9160;4632;3;17251725
Gekkou;12;6.701;5878;2084;109975;417;4388343883
SynergySP;12;6.701;5904;2262;97439;241;4717047170
Studio 3Hz;12;6.671;6109;1590;156615;333;5242452424
Studio Gokumi;12;6.631;6328;1371;186853;1083;8733787337
Kinema Citrus;13;6.571;6625;9923;3613;17;11021102
J.C.Staff;15;6.561;6697;1483;170275;787;6404764047
Madhouse;12;6.531;6887;3391;47686;121;1539015390
Staple Entertainment;12;6.481;7224;1385;184109;566;8727587275
Studio Gokumi;12;6.461;7314;1617;153348;364;7357473574
Studio Blanc.;12;6.431;7541;3312;50145;151;1501315013
Connect;12;6.431;7542;2550;80110;305;2095520955
LIDENFILMS;12;6.421;7620;2708;72679;231;2162121621
Geek Toys;12;6.301;8298;1540;163162;687;6206462064
Maho Film;12;6.221;8730;1752;137203;318;6421664216
soket;96;6.121;9256;13652;1173;5;150150
Actas;12;6.051;9677;1806;132932;482;4901249012
New Deer;12;5.901;10462;13840;1109;7;184184
ILCA;13;5.831;10766;7518;7617;28;26992699
None found;5;5.541;11985;10933;2661;15;158158
MontBlanc Pictures;3;4.661;13540;4048;34195;169;48824882
Madhouse;28;9.311;1;162;1033004;63025;6.0164E+11
OLM;24;8.881;23;421;564467;16823;2.95826E+11
MAPPA;23;8.761;44;138;1144117;24010;6.43666E+11
TMS Entertainment;11;8.321;261;747;341318;1502;1.74505E+11
Nexus;12;8.311;271;543;446320;4840;2.42438E+11
C2C;25;8.081;544;694;362047;2936;1.80571E+11
Wit Studio;12;8.061;589;410;571135;3606;2.64502E+11
A-1 Pictures;12;7.921;777;2928;63079;606;2431124311
Studio Kafka;12;7.901;823;2116;106993;315;4285642856
Shuka;12;7.881;874;2889;64763;358;2335123351
OLM;25;7.841;955;1555;161196;1187;4942049420
LIDENFILMS;13;7.821;1002;1173;222140;1504;9762897628
David Production;24;7.761;1143;857;305412;1739;1.0591E+11
BUG FILMS;12;7.751;1152;382;607000;4116;2.85154E+11
Bibury Animation Studios;12;7.721;1238;959;269858;2617;1.35561E+11
Geek Toys;13;7.721;1243;2358;90468;589;3491434914
LIDENFILMS;24;7.621;1522;1767;136292;896;4648146481
Toei Animation;50;7.611;1554;6384;11386;157;38543854
Studio Kai;13;7.601;1574;4698;24726;90;97069706
Yostar Pictures;8;7.571;1684;3336;49451;299;1562115621
Felix Film;12;7.561;1738;2633;75662;681;3353133531
SILVER LINK.;24;7.551;1761;1108;234679;1412;8583385833
Diomedéa;13;7.501;1973;1668;147333;979;5095450954
TROYCA;12;7.491;1989;2832;66901;464;2359623596
Geek Toys;12;7.451;2171;1835;129313;374;5515855158
Diomedéa;12;7.431;2240;2290;95187;349;3805638056
OLM;12;7.431;2224;1823;130579;378;4332743327
Studio Kai;39;7.421;2288;5706;15223;108;58005800
Platinum Vision;12;7.341;2654;1871;127201;1173;5870158701
Satelight;24;7.281;2942;2081;110049;327;4187941879
Telecom Animation Film;24;7.271;2987;2552;80091;417;2196221962
SILVER LINK.;12;7.211;3295;2461;84766;312;4045640456
LIDENFILMS;12;7.201;3359;659;379188;3157;1.29769E+11
Zero-G;12;7.161;3563;1927;121589;517;4673146731
Project No.9;12;7.151;3663;1953;119271;787;4462244622
Studio Gokumi;12;7.151;3665;3119;55878;333;1613916139
Kinema Citrus;12;7.101;3924;504;472586;6098;1.29334E+11
Lerche;4;7.081;4001;2788;69188;419;2063520635
Fugaku;20;7.071;4065;7469;7746;34;14981498
Arvo Animation;12;7.061;4102;1636;151169;457;7217372173
SynergySP;12;7.011;4327;2061;111498;411;4824448244
Shirogumi;12;6.921;4749;6452;11113;52;31013101
Silver;13;6.901;4809;3083;57211;235;2405824058
Tezuka Productions;12;6.891;4903;2710;72633;326;2397623976
PINE JAM;12;6.861;5021;3735;40387;437;90039003
A-1 Pictures;13;6.851;5117;6241;12039;105;32663266
Zexcs;25;6.781;5440;10320;3169;11;736736
A-Real;12;6.771;5501;2987;61148;150;2016520165
Typhoon Graphics;13;6.761;5566;2316;93351;208;3971639716
ENGI;12;6.751;5628;1303;195992;1507;8494684946
A.C.G.T.;12;6.731;5737;1198;215972;899;1.0677E+11
8bit;12;6.711;5858;2643;75146;213;2530125301
Brain's Base;23;6.691;5991;4362;29186;70;87728772
Toei Animation;12;6.591;6514;7042;9012;32;25112511
Jumondo;12;6.551;6775;3265;51166;75;2452024520
Maho Film;12;6.391;7743;2367;89790;207;3979839798
Asahi Production;12;6.321;8150;8249;6072;29;881881
Project No.9;12;6.301;8254;3464;46224;96;1638616386
Yokohama Animation Laboratory;12;6.221;8761;1247;206245;969;8058880588
Passione;12;6.201;8851;1591;156537;840;6139161391
Nut;12;6.181;8923;5957;13572;23;41104110
Production I.G;3;6.171;8999;5008;21257;53;44024402
Quad;12;6.101;9416;3757;39947;120;1215612156
Point Pictures;12;5.841;10713;13562;1204;2;140140
Unend;12;5.821;10845;4515;27150;73;65126512
Wit Studio;12;5.681;11476;8866;5085;16;14421442
Project No.9;13;5.671;11549;2562;79087;506;2736327363
evg;12;5.671;11542;7666;7266;18;17201720
Yokohama Animation Laboratory;13;5.611;11771;7684;7235;9;817817
Lesprit;12;5.471;12209;10197;3311;5;565565
Madhouse;28;9.311;1;162;1033379;63026;6.01913E+11
OLM;24;8.881;23;421;564467;16823;2.95826E+11
Shin-Ei Animation;13;8.761;43;1047;245958;5330;1.36217E+11
Pierrot;13;8.721;55;3486;45745;521;1942119421
Trigger;24;8.611;96;541;446989;8841;2.17419E+11
A-1 Pictures;12;8.281;306;216;871735;16301;5.06652E+11
Ajia-do;12;8.211;383;921;280014;3641;1.24659E+11
C2C;25;8.081;544;694;362047;2936;1.80571E+11
Lerche;13;7.961;710;540;447144;4267;2.18498E+11
David Production;23;7.851;937;3289;50789;225;1558015580
J.C.Staff;25;7.841;943;912;282797;2224;1.25359E+11
A-1 Pictures;12;7.811;1012;579;421839;1959;2.20524E+11
David Production;24;7.761;1143;857;305412;1739;1.0591E+11
Satelight;12;7.641;1445;2663;74234;714;3306633066
Asahi Production;13;7.631;1469;1448;173996;1939;7907679076
Toei Animation;50;7.581;1659;7461;7768;93;21012101
Studio Massket;12;7.561;1743;1996;116501;598;5500355003
CygamesPictures;12;7.561;1729;4195;31528;211;97409740
SILVER LINK.;24;7.551;1761;1108;234679;1412;8583385833
Shin-Ei Animation;13;7.531;1832;993;262063;1197;1.38023E+11
Studio Kai;12;7.511;1922;1363;188010;1435;9483694836
Connect;12;7.431;2221;1407;178707;760;9334693346
Yokohama Animation Laboratory;12;7.421;2270;1549;161953;968;5719657196
Studio Kai;39;7.421;2288;5705;15223;108;58005800
Telecom Animation Film;24;7.271;2987;2552;80091;417;2196221962
Maho Film;12;7.251;3103;2246;98352;499;4495244952
SynergySP;12;7.251;3083;2338;91745;524;2771327713
PINE JAM;12;7.241;3175;2754;70346;209;2434924349
Jumondo;12;7.131;3752;1452;173395;816;8956989569
8bit;12;7.081;4006;5180;19534;73;64636463
Studio Hibari;12;7.071;4075;3481;45776;159;1467514675
Fugaku;20;7.071;4065;7470;7746;34;14981498
Studio VOLN;12;7.061;4116;1572;159449;608;4731547315
Project No.9;13;7.041;4171;1784;134780;606;5321753217
SILVER LINK.;12;7.031;4271;1375;185988;982;8184481844
Kinema Citrus;13;7.021;4284;9767;3805;18;12011201
White Fox;13;6.991;4424;2984;61201;187;1722317223
Children's Playground Entertainment;12;6.911;4786;1901;124129;409;4628946289
Seven Arcs;12;6.851;5087;1181;220056;1653;8389083890
SILVER LINK.;12;6.841;5136;2152;104701;208;4681846818
EMT Squared;12;6.781;5438;2488;83328;412;3576935769
Studio Flad;12;6.761;5527;1805;133085;377;4844648446
Brain's Base;23;6.691;5991;4362;29186;70;87728772
Passione;12;6.671;6116;2092;109032;383;3335333353
E&H Production;13;6.661;6152;1409;178636;1082;6794367943
Bridge;13;6.571;6648;4080;33701;129;73737373
MAPPA;12;6.521;6975;2265;97190;391;3865638656
Drive;12;6.511;7035;3260;51306;232;1559315593
Studio PuYUKAI;13;6.501;7103;6847;9693;17;30463046
OLM;12;6.471;7270;4091;33554;138;82828282
Okuruto Noboru;12;6.371;7848;1578;158488;615;7265372653
Tsumugi Akita Animation Lab;10;6.331;8118;5787;14669;43;45644564
Project No.9;12;6.301;8254;3464;46224;96;1638616386
Bones;13;6.201;8821;2120;106619;376;3122631226
Studio Polon;12;6.121;9306;2394;88043;131;3836738367
Staple Entertainment;12;6.071;9558;1957;118805;370;4564145641
Signal.MD;10;5.881;10534;6072;12904;10;45054505
ILCA;13;5.851;10689;8297;6003;17;20142014
OLM;12;5.421;12362;6371;11397;10;27942794
Wolfsbane;12;5.241;12816;3883;37284;145;98669866
Super Normal Studio;13;5.141;13023;8605;5501;10;468468
Kyoto Animation;13;8.721;53;2532;81091;1518;2974829748
Trigger;24;8.611;96;541;446989;8841;2.17419E+11
Studio Bind;12;8.431;179;512;467612;4011;2.55606E+11
Toei Animation;13;8.391;203;2163;103528;2297;3898638986
Drive;11;8.361;226;501;475601;5324;1.86555E+11
Production I.G;12;8.301;276;429;551507;5412;3.04231E+11
J.C.Staff;12;8.141;466;3047;58655;246;2187021870
ufotable;8;8.111;504;391;592307;4579;3.15582E+11
Passione;25;8.111;511;1139;227869;1823;6865168651
Tezuka Productions;25;8.101;523;2614;76518;554;2654326543
Bones;21;8.071;558;695;361718;2663;1.35065E+11
Pierrot;20;8.061;578;3368;48192;433;1475614756
8bit;12;8.011;653;2365;90249;526;3082330823
CloverWorks;11;7.861;909;2359;90423;688;2847028470
David Production;23;7.851;937;3289;50789;225;1558015580
J.C.Staff;25;7.841;943;912;282797;2224;1.25359E+11
Doga Kobo;12;7.771;1109;1988;117271;895;4415744157
Studio Deen;12;7.751;1149;3781;39426;349;1357213572
CloverWorks;13;7.741;1193;727;348264;2736;1.69353E+11
Geek Toys;12;7.691;1328;1913;123157;1310;3925039250
8bit;24;7.681;1341;616;401583;4199;1.59663E+11
Toei Animation;50;7.581;1659;7461;7768;93;21012101
SILVER LINK.;27;7.551;1787;1881;125675;605;3541535415
MAPPA;12;7.511;1929;3657;41871;244;1597215972
Gekkou;11;7.471;2084;1811;132449;544;4420844208
Tsumugi Akita Animation Lab;12;7.441;2193;1262;203057;1001;1.04398E+11
Studio Kai;39;7.421;2288;5705;15226;108;58005800
Liber;12;7.381;2439;1942;120092;479;4388643886
EMT Squared;12;7.371;2501;2605;77089;257;2915929159
Okuruto Noboru;12;7.341;2615;2538;80637;316;3493234932
Yostar Pictures;12;7.321;2734;1534;163768;734;6319063190
Brain's Base;12;7.291;2887;1460;172055;683;8212582125
LIDENFILMS;13;7.291;2880;4843;23025;72;72947294
SynergySP;12;7.281;2943;2913;63616;161;2698326983
studio MOTHER;12;7.171;3524;1571;159511;388;7897478974
OLM;13;7.101;3903;6055;12987;40;46774677
8bit;13;7.041;4180;1742;138696;472;4451444514
Yostar Pictures;12;7.041;4201;2856;66134;1091;2333823338
Okuruto Noboru;12;7.031;4259;2637;75451;359;3036030360
Connect;12;6.961;4559;3192;53468;170;1852018520
Sunrise;12;6.841;5156;8071;6412;9;26992699
J.C.Staff;12;6.821;5229;1272;200586;866;1.00015E+11
Zero-G;12;6.771;5466;2315;93355;284;2955029550
East Fish Studio;12;6.751;5604;1990;117048;520;4137041370
ENGI;12;6.731;5711;1782;134832;611;4792647926
Yokohama Animation Laboratory;12;6.671;6062;2408;87632;781;1925319253
E&H Production;13;6.661;6152;1409;178636;1082;6794367943
Zexcs;23;6.651;6207;11245;2431;10;501501
Telecom Animation Film;12;6.561;6710;4214;31179;59;1081510815
Studio Deen;12;6.551;6778;1586;157411;478;8038480384
Yokohama Animation Laboratory;12;6.441;7486;1880;125782;372;5695456954
SILVER LINK.;12;6.431;7517;1403;180568;822;4064240642
LIDENFILMS;13;6.271;8468;2354;90668;256;3061830618
Studio Blanc.;12;6.201;8861;3433;46836;237;1582915829
Studio A-CAT;12;6.151;9111;5422;17369;98;44504450
domerica;8;6.111;9362;5989;13384;45;20672067
Polygon Pictures;12;6.091;9454;6769;9948;54;23252325
Shin-Ei Animation;6;5.691;11420;17105;490;0;164164
TMS Entertainment;12;5.661;11566;6932;9387;36;21022102
Studio Deen;12;5.211;12894;2508;81898;203;3088230882
Doga Kobo;13;8.591;104;587;417865;5509;1.82119E+11
A-1 Pictures;12;8.151;458;1027;252651;2750;1.27134E+11
Passione;25;8.111;511;1139;227907;1823;6865168651
Tezuka Productions;25;8.101;523;2614;76518;554;2654326543
Bones;21;8.071;558;695;361718;2663;1.35065E+11
Pierrot;20;8.061;578;3368;48214;433;1475614756
A-1 Pictures;12;8.041;615;2324;92867;456;2891228912
Actas;12;7.891;842;915;280945;1565;1.44797E+11
Nomad;12;7.851;927;1450;173824;1340;6823968239
CloverWorks;12;7.821;983;1479;170768;739;6717767177
8bit;24;7.681;1341;616;401676;4199;1.59746E+11
Doga Kobo;12;7.601;1573;633;393855;4925;1.97203E+11
White Fox;22;7.591;1613;4722;24348;86;68806880
Toei Animation;50;7.581;1659;7461;7768;93;21012101
Bones;12;7.571;1672;2403;87731;416;3109931099
SILVER LINK.;27;7.551;1787;1881;125708;606;3544135441
Studio Deen;12;7.471;2079;3383;47958;418;1466014660
J.C.Staff;24;7.431;2226;1869;127259;802;3712637126
Tezuka Productions;12;7.381;2470;2760;70147;379;2707727077
E&H Production;12;7.381;2472;5734;15020;84;52375237
Yumeta Company;12;7.381;2456;1616;153527;534;7763577635
P.A. Works;12;7.361;2532;3296;50553;210;1699516995
Studio Deen;12;7.351;2571;1418;177001;1391;7061570615
Project No.9;12;7.311;2795;2622;76091;417;2402624026
Lapin Track;10;7.291;2871;2122;106397;473;3447834478
Atelier Pontdarc;12;7.281;2948;1317;194509;771;7716777167
TROYCA;13;7.181;3488;2691;73273;384;2067620676
OLM;12;7.111;3853;3570;43902;97;1641116411
Kinema Citrus;13;7.111;3846;11135;2501;12;795795
TNK;12;7.051;4154;2867;65548;209;2226822268
Wit Studio;12;7.021;4301;1077;240525;1610;9330693306
8bit;12;6.921;4744;4438;28073;67;90859085
OLM;12;6.901;4854;1501;168390;581;7971179711
Production I.G;11;6.811;5305;7430;7823;34;15781578
J.C.Staff;13;6.801;5344;3344;49137;248;1006410064
Typhoon Graphics;12;6.801;5324;2790;69089;175;2575525755
Tezuka Productions;12;6.771;5494;3075;57505;220;2129021290
P.A. Works;13;6.741;5691;5285;18598;31;62866286
The Answer Studio;13;6.691;5982;1026;253185;1269;8856088560
Studio Outrigger;12;6.691;5949;12378;1696;11;693693
EMT Squared;12;6.671;6115;2610;76726;293;3246832468
Yokohama Animation Laboratory;12;6.671;6062;2408;87634;781;1925419254
Zexcs;23;6.651;6207;11247;2431;10;501501
Studio Palette;13;6.541;6843;3439;46617;61;1577815778
Seven Arcs;12;6.481;7194;1397;181621;720;8898188981
Wit Studio;10;6.451;7390;1649;149386;570;4374243742
Studio A-CAT;12;6.411;7634;1846;128457;400;5219252192
P.A. Works;12;6.381;7783;4262;30495;75;89498949
ROLL2;12;6.281;8399;2954;62184;210;2078120781
Project No.9;12;6.241;8636;1989;117077;355;4268642686
LIDENFILMS;10;6.061;9599;3058;58307;126;1694616946
ILCA;13;6.031;9785;9537;4078;15;14741474
Gaina;13;5.851;10671;7460;7773;35;18351835
Gekkou;12;5.821;10859;2746;70788;143;2875128751
Elias;12;5.601;11798;3527;44781;184;1460614606
Satelight;24;5.551;11961;4841;23018;43;65376537
AQUA ARIS;12;5.441;12290;15798;652;1;212212
None found;12;5.371;12497;6530;10797;23;19211921
Shuka;12;8.591;99;3531;44815;444;1130311303
Science SARU;12;8.561;109;353;647718;10030;3.52589E+11
MAPPA;12;8.051;604;1974;118067;870;5269652696
J.C.Staff;15;8.031;628;1576;158777;865;2429424294
LIDENFILMS;23;8.001;660;3477;45885;210;71517151
Sunrise;12;7.891;851;5318;18387;130;57685768
Felix Film;12;7.801;1048;3926;36389;184;1582215822
Felix Film;12;7.631;1476;2105;108196;515;5251652516
Diomedéa;13;7.591;1626;3209;52800;220;1584515845
White Fox;22;7.591;1613;4722;24348;86;68806880
Toei Animation;50;7.581;1659;7461;7768;93;21012101
8bit;14;7.561;1707;1025;253912;1868;1.0919E+11
Studio Signpost;12;7.531;1854;3134;55373;179;1854818548
J.C.Staff;12;7.481;2030;2169;103282;323;4096240962
studio MOTHER;12;7.481;2020;2287;95386;266;4102441024
Telecom Animation Film;12;7.461;2104;4204;31340;113;68746874
J.C.Staff;24;7.431;2226;1869;127260;803;3712737127
Studio VOLN;12;7.421;2285;2564;79104;202;2007720077
Ashi Productions;12;7.401;2370;3243;51798;299;1762717627
Nut;12;7.371;2483;3112;56231;244;1915519155
Signal.MD;12;7.351;2577;3366;48271;279;1672116721
Maho Film;13;7.331;2688;2227;99136;482;4572745727
OLM;13;7.311;2769;8831;5148;15;22442244
Studio Deen;12;7.191;3410;2037;113740;570;4024540245
A-1 Pictures;12;7.161;3597;2207;100872;327;2479424794
Ashi Productions;12;7.131;3732;2276;96394;293;3644536445
asread.;16;7.091;3968;1584;157962;990;2948129481
Felix Film;12;7.081;4023;2065;111473;444;3753637536
Zero-G;13;7.071;4049;2068;111045;350;4882048820
J.C.Staff;12;7.041;4225;2543;80477;344;3210232102
Lerche;4;7.041;4213;3981;35272;127;87528752
J.C.Staff;12;6.971;4507;4423;28345;58;86838683
TOHO animation STUDIO;12;6.961;4579;6634;10416;45;34553455
The Answer Studio;13;6.911;4777;2162;103654;214;4459644596
C-Station;12;6.901;4842;7456;7787;22;26432643
TMS Entertainment;12;6.871;4978;1517;166590;1222;4784947849
TriF Studio;12;6.831;5170;3318;50057;135;1516315163
J.C.Staff;13;6.801;5344;3344;49139;248;1006410064
Pie in the sky;12;6.751;5610;11711;2118;7;704704
Voil;12;6.731;5732;5077;20569;59;67946794
Yokohama Animation Laboratory;12;6.671;6062;2408;87634;781;1925419254
M.S.C;13;6.651;6208;7848;6867;23;15821582
Passione;12;6.581;6617;2125;106245;439;4561145611
Toei Animation;13;6.481;7182;14355;969;3;131131
Imagica Infos;6;6.401;7692;8039;6482;29;15231523
SynergySP;12;6.351;7995;2685;73478;169;2983029830
Polygon Pictures;12;6.321;8173;9205;4558;20;11741174
Unend;12;6.211;8794;7579;7479;18;20162016
J.C.Staff;12;6.191;8885;5674;15355;18;48364836
Gekkou;12;5.911;10417;3645;42284;103;1536815368
