,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Themes,Theme,Genre,German,Spanish,French
70,2023,fall,Totonoe! Sakuma-kun by &sauna,,https://cdn.myanimelist.net/images/anime/1778/139497.jpg,,ととのえ！サクマくん by &sauna,,TV,11,Finished Airing,"Nov 12, 2023 to Jan 28, 2024",Fall 2023,Sundays at 11,"None found, add some","None found, add some",Kachidoki Studio,Original,,,2 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#149692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#19938,285,0,,AnthropomorphicAnthropomorphic,Slice of LifeSlice of Life,,,
71,2023,fall,"Taka no Tsume Gaiden ""Himitsu Kyuusha: Uma no Hizume - Grand Prix""",,https://cdn.myanimelist.net/images/anime/1892/146042.jpg,Uma no Tsume 2nd Season,鷹の爪外伝「秘密厩舎 馬の蹄 グランプリ」,,TV,4,Finished Airing,"Nov 30, 2023 to Dec 21, 2023",Fall 2023,Thursdays at 23,"None found, add some","None found, add some",DLE,Original,"ComedyComedy,         SportsSports",,2 min. per ep.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#146842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#25790,81,0,,,,,,
72,2023,fall,One Piece,,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,OP,ONE PIECE,One Piece,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.731 (scored by 14168221,416,822 users)
      


1
          indicates a weighted score.","#502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#17,"2,491,998","234,240",,,,,,
73,2023,fall,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,Jujutsu Kaisen,呪術廻戦 懐玉・玉折／渋谷事変,Jujutsu Kaisen Season 2,TV,23,Finished Airing,"Jul 6, 2023 to Dec 28, 2023",Summer 2023,Thursdays at 23,"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap","None found, add some",MAPPA,Manga,"ActionAction,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.761 (scored by 643665643,665 users)
      


1
          indicates a weighted score.","#442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#138,"1,144,117","24,010","GoreGore,         SchoolSchool",,,,,
74,2023,fall,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,Zom 100: Bucket List of the Dead,https://cdn.myanimelist.net/images/anime/1384/136408.jpg,"Bucket List of The Dead, Zombie 100",ゾン100～ゾンビになるまでにしたい100のこと～,Zom 100,TV,12,Finished Airing,"Jul 9, 2023 to Dec 26, 2023",Summer 2023,Sundays at 17,"Shogakukan-Shueisha Productions,       Mainichi Broadcasting System,       Shogakukan,       dugout",VIZ Media,BUG FILMS,Manga,"ActionAction,         ComedyComedy,         HorrorHorror,         SuspenseSuspense",SeinenSeinen,24 min. per ep.,R - 17+ (violence & profanity),"7.751 (scored by 285154285,154 users)
      


1
          indicates a weighted score.","#11522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#382,"607,000","4,116","Adult CastAdult Cast,         GoreGore,         SurvivalSurvival",,,,,
75,2023,fall,Meitantei Conan,Case Closed,https://cdn.myanimelist.net/images/anime/7/75199.jpg,Detective Conan,名探偵コナン,Case Closed,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18,"Yomiuri Telecasting,       Shogakukan,       Audio Planning U,       Tokyo Movie,       Polydor Records","Funimation,       Crunchyroll",TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         MysteryMystery",ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.171 (scored by 164200164,200 users)
      


1
          indicates a weighted score.","#4352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#703,"360,471","15,311",,DetectiveDetective,,Case Closed,,
76,2023,fall,Dark Gathering,,https://cdn.myanimelist.net/images/anime/1346/138731.jpg,,ダークギャザリング,Dark Gathering,TV,25,Finished Airing,"Jul 10, 2023 to Dec 25, 2023",Summer 2023,Mondays at 01,"Sotsu,       Pony Canyon,       Kansai Telecasting,       NetEase,       BS Asahi,       CHOCOLATE",Sentai Filmworks,OLM,Manga,"HorrorHorror,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.841 (scored by 4942049,420 users)
      


1
          indicates a weighted score.","#9552

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1555,"161,196","1,187",,GoreGore,,,,
77,2023,fall,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Rurouni Kenshin,https://cdn.myanimelist.net/images/anime/1599/136532.jpg,,るろうに剣心 -明治剣客浪漫譚-,Rurouni Kenshin,TV,24,Finished Airing,"Jul 7, 2023 to Dec 15, 2023",Summer 2023,Fridays at 00,"Aniplex,       Dentsu,       Animax,       Fuji TV,       Shueisha",Aniplex of America,LIDENFILMS,Manga,"ActionAction,         DramaDrama",ShounenShounen,22 min. per ep.,R - 17+ (violence & profanity),"7.621 (scored by 4648146,481 users)
      


1
          indicates a weighted score.","#15222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1767,"136,292",896,"HistoricalHistorical,         SamuraiSamurai",,,,,
78,2023,fall,Helck,,https://cdn.myanimelist.net/images/anime/1002/138524.jpg,,ヘルク,Helck,TV,24,Finished Airing,"Jul 12, 2023 to Dec 20, 2023",Summer 2023,Wednesdays at 01,"Shogakukan-Shueisha Productions,       Nippon Television Network,       Shogakukan,       BS NTV,       Mixer,       NetEase,       Miki Production",Sentai Filmworks,Satelight,Web manga,"ActionAction,         FantasyFantasy",,22 min. per ep.,PG-13 - Teens 13 or older,"7.281 (scored by 4187941,879 users)
      


1
          indicates a weighted score.","#29422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2081,"110,049",327,,,,,,
79,2023,fall,Crayon Shin-chan,Shin Chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg,,クレヨンしんちゃん,Shin Chan,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,Fridays at 19,TV Asahi,Funimation,Shin-Ei Animation,Manga,"ComedyComedy,         EcchiEcchi",SeinenSeinen,21 min.,G - All Ages,"7.801 (scored by 4214242,142 users)
      


1
          indicates a weighted score.","#10282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2398,"87,938","1,329",,SchoolSchool,,Shin Chan,Shin Chan,
80,2023,fall,Hirogaru Sky! Precure,Soaring Sky! Pretty Cure,https://cdn.myanimelist.net/images/anime/1762/135268.jpg,,ひろがるスカイ！プリキュア,Soaring Sky! Pretty Cure,TV,50,Finished Airing,"Feb 5, 2023 to Jan 28, 2024",Winter 2023,Sundays at 08,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,,,24 min. per ep.,G - All Ages,"7.611 (scored by 38543,854 users)
      


1
          indicates a weighted score.","#15542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6384,"11,386",157,,Mahou ShoujoMahou Shoujo,ActionAction,,,
81,2023,fall,Sazae-san,Mrs. Sazae,https://cdn.myanimelist.net/images/anime/1008/98996.jpg,,サザエさん,Mrs. Sazae,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Sundays at 18,Fuji TV,"None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,24 min.,G - All Ages,"6.141 (scored by 19331,933 users)
      


1
          indicates a weighted score.","#91842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7123,"8,791",39,,,,,,
82,2023,fall,Chibi Maruko-chan (1995),Little Miss Maruko,https://cdn.myanimelist.net/images/anime/1108/100604.jpg,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,TV,Unknown,Currently Airing,"Jan 8, 1995 to ?",Winter 1995,Sundays at 18,"Ajia-do,       Fuji TV,       Sakura Production","None found, add some",Nippon Animation,Manga,,ShoujoShoujo,23 min.,G - All Ages,"7.341 (scored by 21732,173 users)
      


1
          indicates a weighted score.","#26382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7914,"6,749",61,,SchoolSchool,ComedyComedy,,Chibi Maruko-chan,
83,2023,fall,Yu☆Gi☆Oh! Go Rush!!,,https://cdn.myanimelist.net/images/anime/1690/140394.jpg,Yuu Gi Ou,遊☆戯☆王ゴーラッシュ!!,,TV,Unknown,Currently Airing,"Apr 3, 2022 to ?",Spring 2022,Sundays at 07,"TV Tokyo,       Konami,       Shueisha","None found, add some",Bridge,Card game,"ActionAction,         FantasyFantasy",,24 min.,PG-13 - Teens 13 or older,"5.661 (scored by 11391,139 users)
      


1
          indicates a weighted score.","#115862

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7920,"6,743",52,,Strategy GameStrategy Game,,,,
84,2023,fall,Tousouchuu: Great Mission,Run For Money: The Great Mission,https://cdn.myanimelist.net/images/anime/1482/141904.jpg,,逃走中 グレートミッション,Run For Money,TV,Unknown,Currently Airing,"Apr 2, 2023 to ?",Spring 2023,Sundays at 09,"Yomiko Advertising,       Fuji TV","None found, add some",Toei Animation,Other,"Sci-FiSci-Fi,         SuspenseSuspense",,23 min.,PG-13 - Teens 13 or older,"5.651 (scored by 773773 users)
      


1
          indicates a weighted score.","#115922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8219,"6,108",27,,High Stakes GameHigh Stakes Game,,,,
85,2023,fall,Chiikawa,,https://cdn.myanimelist.net/images/anime/1783/121944.jpg,,ちいかわ,,TV,Unknown,Currently Airing,"Apr 4, 2022 to ?",Spring 2022,Fridays at 07,"None found, add some",Sentai Filmworks,Doga Kobo,Web manga,,SeinenSeinen,1 min.,G - All Ages,"7.591 (scored by 14911,491 users)
      


1
          indicates a weighted score.","#16012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8303,"5,985",138,,,ComedyComedy,,,
86,2023,fall,Bonobono (TV 2016),Bono Bono,https://cdn.myanimelist.net/images/anime/13/77617.jpg,,ぼのぼの,Bono Bono,TV,Unknown,Currently Airing,"Apr 2, 2016 to ?",Spring 2016,Saturdays at 04,"Fuji TV,       Glovision","None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,5 min.,G - All Ages,"6.371 (scored by 759759 users)
      


1
          indicates a weighted score.","#78892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10226,"3,275",19,,AnthropomorphicAnthropomorphic,,Bono Bono,Bono Bono,Bono Bono
87,2023,fall,Shadowverse Flame: Seven Shadows-hen,,https://cdn.myanimelist.net/images/anime/1070/134743.jpg,,シャドウバースF セブンシャドウズ編,,TV,25,Finished Airing,"Jul 8, 2023 to Dec 23, 2023",Summer 2023,Saturdays at 09,TV Tokyo,"None found, add some",Zexcs,Card game,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.781 (scored by 736736 users)
      


1
          indicates a weighted score.","#54402

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10320,"3,169",11,,Strategy GameStrategy Game,FantasyFantasy,,,
88,2023,fall,Ninjala (TV),,https://cdn.myanimelist.net/images/anime/1552/119871.jpg,,ニンジャラ,,TV,Unknown,Currently Airing,"Jan 8, 2022 to ?",Winter 2022,Saturdays at 07,TV Tokyo,Sentai Filmworks,OLM,Game,,,23 min.,PG - Children,"5.571 (scored by 424424 users)
      


1
          indicates a weighted score.","#119012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10490,"3,039",24,,,ActionAction,,,
89,2023,fall,Shikaru Neko,,https://cdn.myanimelist.net/images/anime/1008/113384.jpg,,しかるねこ,,TV,Unknown,Currently Airing,"Mar 22, 2021 to ?",Spring 2021,Unknown,"None found, add some","None found, add some","None found, add some",Manga,,,30 sec.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11244,"2,432",17,,,Slice of LifeSlice of Life,,,
90,2023,fall,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,https://cdn.myanimelist.net/images/anime/6/72182.jpg,Kamiusagi Rope 4,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,TV,Unknown,Currently Airing,"Nov 16, 2012 to ?",Fall 2012,Not scheduled once per week,"None found, add some","None found, add some","None found, add some",Original,"ComedyComedy,         Slice of LifeSlice of Life",,2 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#167992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13282,"1,294",0,,,,,,
91,2023,fall,Shiawase Haitatsu Taneko,,https://cdn.myanimelist.net/images/anime/2/28900.jpg,,しあわせ配達おみくじタネコ,,TV,Unknown,Currently Airing,"Mar 26, 2011 to ?",Spring 2011,Not scheduled once per week,"None found, add some","None found, add some",Kachidoki Studio,Original,,,Unknown,None,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14312,980,4,,,ComedyComedy,,,
92,2023,fall,Manul no Yuube,,https://cdn.myanimelist.net/images/anime/1980/96936.jpg,,マヌ～ルのゆうべ,,TV,Unknown,Currently Airing,"Nov 11, 2018 to ?",Fall 2018,Sundays at Unknown,NHK,"None found, add some","None found, add some",Web manga,,,1 min.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#175272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#15779,654,1,,,Slice of LifeSlice of Life,,,
93,2023,fall,Shin Nippon History,,https://cdn.myanimelist.net/images/anime/1433/134811.jpg,Shin Nippon History,新ニッポンヒストリー,,TV,Unknown,Currently Airing,"Jan 6, 2020 to ?",Winter 2020,Mondays at 01,"None found, add some","None found, add some","None found, add some",Original,,,23 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#142302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#18533,377,0,,HistoricalHistorical,ComedyComedy,,,
94,2023,fall,Shuwawan!,,https://cdn.myanimelist.net/images/anime/1129/140004.jpg,,しゅわわん!,,TV,Unknown,Currently Airing,"Mar 22, 2023 to ?",Spring 2023,Not scheduled once per week,NHK,"None found, add some",KOO-KI,Original,,,5 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#143702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#19606,304,0,,ChildcareChildcare,Slice of LifeSlice of Life,,,
95,2023,fall,Youkoso Ninchishou Sekai e,,https://cdn.myanimelist.net/images/anime/1573/142457.jpg,,ようこそ認知症世界へ,,TV,Unknown,Currently Airing,"Aug 14, 2022 to ?",Summer 2022,Unknown,NHK,"None found, add some","None found, add some",Original,"AdventureAdventure,         Slice of LifeSlice of Life",,5 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#160982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20734,242,0,,EducationalEducational,,,,
96,2023,fall,Dinoster: Gonglyongsuhodae,Dinoster,https://cdn.myanimelist.net/images/anime/1209/139580.jpg,,다이노스터,Dinoster,TV,26,Finished Airing,"Aug 28, 2023 to Nov 20, 2023",Summer 2023,Unknown,Alpha Group,"None found, add some","None found, add some",Original,"ActionAction,         ComedyComedy,         Sci-FiSci-Fi",,12 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#202682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#21150,218,0,,MechaMecha,,,,
