,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genres,Theme,German,Spanish,French
11,2024,summer,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",I Parry Everything,https://cdn.myanimelist.net/images/anime/1747/143101.jpg,"I Will ""Parry"" All",俺は全てを【パリイ】する ～逆勘違いの世界最強は冒険者になりたい～,I Parry Everything,TV,12,Finished Airing,"Jul 5, 2024 to Sep 20, 2024",Summer 2024,Fridays at 00,"Mainichi Broadcasting System,       Half H.P Studio,       Earth Star Entertainment,       Tokyo MX,       BS11,       JR East Marketing & Communications,       MAGNET,       AQUA ARIS,       NetEase,       Bandai Namco Filmworks",Sentai Filmworks,OLM,Light novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"6.901 (scored by 7971179,711 users)
      


1
          indicates a weighted score.","#48542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1501,"168,390",581,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,,
12,2024,summer,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",https://cdn.myanimelist.net/images/anime/1212/144711.jpg,The Rookie Middle-Aged Adventurer Was Trained to Death by the Most Powerful Party to Become Invincible,新米オッサン冒険者、最強パーティに死ぬほど鍛えられて無敵になる。,"The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",TV,12,Finished Airing,"Jul 2, 2024 to Sep 24, 2024",Summer 2024,Tuesdays at 02,"MediaNet,       Mainichi Broadcasting System,       Nippon Columbia,       KlockWorx,       Asmik Ace,       Hobby Japan,       AQUA ARIS,       Bit grooove promotion,       CTW","None found, add some",Yumeta Company,Light novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.381 (scored by 7763577,635 users)
      


1
          indicates a weighted score.","#24562

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1616,"153,527",534,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,,
13,2024,summer,Fairy Tail: 100-nen Quest,Fairy Tail: 100 Years Quest,https://cdn.myanimelist.net/images/anime/1087/144083.jpg,,FAIRY TAIL 100年クエスト,Fairy Tail,TV,25,Finished Airing,"Jul 7, 2024 to Jan 5, 2025",Summer 2024,Sundays at 17,"TV Tokyo,       Avex Pictures,       Gloria","None found, add some",J.C.Staff,Web manga,,,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.631 (scored by 2861028,610 users)
      


1
          indicates a weighted score.","#14842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1630,"152,147","1,658","ActionAction,         AdventureAdventure,         FantasyFantasy",,,,
14,2024,summer,Isekai Suicide Squad,Suicide Squad Isekai,https://cdn.myanimelist.net/images/anime/1644/142052.jpg,,異世界スーサイド・スクワッド,Suicide Squad Isekai,TV,10,Finished Airing,"Jul 6, 2024 to Sep 7, 2024",Summer 2024,Saturdays at 00,"Magic Capsule,       Warner Bros. Japan,       ONEMUSIC","None found, add some",Wit Studio,Other,,"Adult CastAdult Cast,         IsekaiIsekai",,24 min. per ep.,R - 17+ (violence & profanity),"6.451 (scored by 4374243,742 users)
      


1
          indicates a weighted score.","#73902

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1649,"149,386",570,"ActionAction,         FantasyFantasy",,,,
15,2024,summer,Maougun Saikyou no Majutsushi wa Ningen datta,The Strongest Magician in the Demon Lord's Army Was a Human,https://cdn.myanimelist.net/images/anime/1814/143744.jpg,The Maou Army's Strongest Magician Was a Human,魔王軍最強の魔術師は人間だった,The Strongest Magician in the Demon Lord's Army Was a Human,TV,12,Finished Airing,"Jul 3, 2024 to Sep 18, 2024",Summer 2024,Wednesdays at 22,"Pony Canyon,       KlockWorx,       Asmik Ace,       Futabasha,       Yomiuri TV Enterprise,       Bit grooove promotion,       BS Asahi,       Happinet Phantom Studios","None found, add some",Studio A-CAT,Manga,,"IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"6.411 (scored by 5219252,192 users)
      


1
          indicates a weighted score.","#76342

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1846,"128,457",400,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,,
16,2024,summer,2.5-jigen no Ririsa,2.5 Dimensional Seduction,https://cdn.myanimelist.net/images/anime/1779/143584.jpg,"Nigoriri, 2.5-jigen no Yuuwaku, Ririsa of 2.5 Dimension",2.5次元の誘惑,2.5 Dimensional Seduction,TV,24,Finished Airing,"Jul 5, 2024 to Dec 13, 2024",Summer 2024,Fridays at 22,"Pony Canyon,       Movic,       Magic Capsule,       Shueisha,       Bandai Spirits,       ADK Emotions,       Aiming",Sentai Filmworks,J.C.Staff,Manga,,"HaremHarem,         Otaku CultureOtaku Culture,         SchoolSchool",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.431 (scored by 3712637,126 users)
      


1
          indicates a weighted score.","#22262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1869,"127,259",802,"ComedyComedy,         EcchiEcchi",,,,
17,2024,summer,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Why Does Nobody Remember Me in This World?,https://cdn.myanimelist.net/images/anime/1664/144272.jpg,"Why Nobody Remembers My World?, NazeBoku",なぜ僕の世界を誰も覚えていないのか？,Why Does Nobody Remember Me in This World?,TV,12,Finished Airing,"Jul 13, 2024 to Sep 28, 2024",Summer 2024,Saturdays at 22,"Magic Capsule,       KlockWorx,       Asmik Ace,       Tokyo MX,       Good Smile Company,       Kansai Telecasting,       Contents Seed,       Kadokawa,       Dream Shift,       Fabtone,       NetEase,       BS Asahi,       Happinet Phantom Studios,       Bergamo","None found, add some",Project No.9,Light novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.241 (scored by 4268642,686 users)
      


1
          indicates a weighted score.","#86362

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1989,"117,077",355,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi",,,,
18,2024,summer,Shoushimin Series,Shoshimin: How to Become Ordinary,https://cdn.myanimelist.net/images/anime/1164/143459.jpg,,小市民シリーズ,Shoshimin,TV,10,Finished Airing,"Jul 7, 2024 to Sep 15, 2024",Summer 2024,Sundays at 01,"TV Asahi,       Movic,       KlockWorx,       NBCUniversal Entertainment Japan,       Nagoya Broadcasting Network,       AbemaTV,       Bit grooove promotion,       NetEase,       BS Asahi,       TV Asahi Music","None found, add some",Lapin Track,Novel,MysteryMystery,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.291 (scored by 3447834,478 users)
      


1
          indicates a weighted score.","#28712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2122,"106,397",473,,SchoolSchool,,,
19,2024,summer,NieR:Automata Ver1.1a Part 2,NieR:Automata Ver1.1a (Cour 2),https://cdn.myanimelist.net/images/anime/1364/143539.jpg,,NieR,NieR,TV,12,Finished Airing,"Jul 5, 2024 to Sep 27, 2024",Summer 2024,Fridays at 23,"Aniplex,       Square Enix",Aniplex of America,A-1 Pictures,Game,,,,23 min. per ep.,R - 17+ (violence & profanity),"8.041 (scored by 2891228,912 users)
      


1
          indicates a weighted score.","#6152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2324,"92,867",456,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi",,,,
20,2024,summer,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",Our Last Crusade or the Rise of a New World Season 2,https://cdn.myanimelist.net/images/anime/1660/143460.jpg,"Our Last Crusade or the Rise of a New World 2nd Season, The Last Battlefield Between You and I, or Perhaps the Beginning of the World's Holy War 2nd Season, Kimisen",キミと僕の最後の戦場、あるいは世界が始まる聖戦 Season Ⅱ,Our Last Crusade or the Rise of a New World Season 2,TV,12,Currently Airing,"Jul 10, 2024 to ?",Summer 2024,Wednesdays at 22,"Pony Canyon,       AT-X,       Crunchyroll,       ABC Animation,       Kadokawa,       Bit grooove promotion,       A3","None found, add some","SILVER LINK.,       Studio Palette",Light novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"6.671 (scored by 73097,309 users)
      


1
          indicates a weighted score.","#60802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2372,"89,636",507,"ActionAction,         FantasyFantasy,         RomanceRomance",MilitaryMilitary,,,
21,2024,summer,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,The Magical Girl and the Evil Lieutenant Used to Be Archenemies,https://cdn.myanimelist.net/images/anime/1653/143959.jpg,"Mahoaku, The Former Magical Girl & Evil Enemy, The Magical Girl and Evil Officer, Beauty and the Beast",かつて魔法少女と悪は敵対していた。,The Magical Girl and the Evil Lieutenant Used to Be Archenemies,TV,12,Finished Airing,"Jul 9, 2024 to Sep 24, 2024",Summer 2024,Tuesdays at 22,"Square Enix,       Shochiku,       AT-X,       Tohokushinsha Film Corporation,       Avex Pictures,       Marui Group","None found, add some",Bones,Manga,,,ShounenShounen,12 min. per ep.,PG-13 - Teens 13 or older,"7.571 (scored by 3109931,099 users)
      


1
          indicates a weighted score.","#16722

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2403,"87,731",416,"ComedyComedy,         RomanceRomance",Mahou ShoujoMahou Shoujo,,,
22,2024,summer,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,A Journey Through Another World: Raising Kids While Adventuring,https://cdn.myanimelist.net/images/anime/1690/141987.jpg,"Iseyuru, Isekai Yururi Kikou",異世界ゆるり紀行 ～子育てしながら冒険者します～,A Journey Through Another World,TV,12,Finished Airing,"Jul 8, 2024 to Sep 23, 2024",Summer 2024,Mondays at 01,"Genco,       MediaNet,       Ai Addiction,       Crunchyroll,       U-NEXT,       Muse Communication,       NetEase,       AlphaPolis,       Three S Studio,       Dreamusic","None found, add some",EMT Squared,Light novel,,"ChildcareChildcare,         IsekaiIsekai",,23 min. per ep.,PG-13 - Teens 13 or older,"6.671 (scored by 3246832,468 users)
      


1
          indicates a weighted score.","#61152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2610,"76,726",293,"AdventureAdventure,         FantasyFantasy,         Slice of LifeSlice of Life",,,,
23,2024,summer,Senpai wa Otokonoko,Senpai is an Otokonoko,https://cdn.myanimelist.net/images/anime/1049/144505.jpg,"Otokonoko ga Kouhai ni Kokuhaku sareru Hanashi, My Crossdressing Senpai, Painoko",先輩はおとこのこ,Senpai is an Otokonoko,TV,12,Finished Airing,"Jul 5, 2024 to Sep 27, 2024",Summer 2024,Fridays at 00,"Aniplex,       Dentsu,       Fuji TV,       Crunchyroll,       Bit grooove promotion","None found, add some",Project No.9,Web manga,,"CrossdressingCrossdressing,         Love PolygonLove Polygon,         SchoolSchool",,22 min. per ep.,PG-13 - Teens 13 or older,"7.311 (scored by 2402624,026 users)
      


1
          indicates a weighted score.","#27952

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2622,"76,091",417,"DramaDrama,         RomanceRomance",,,,
24,2024,summer,Atri: My Dear Moments,Atri -My Dear Moments-,https://cdn.myanimelist.net/images/anime/1825/143408.jpg,,ATRI -My Dear Moments-,Atri -My Dear Moments-,TV,13,Finished Airing,"Jul 14, 2024 to Oct 6, 2024",Summer 2024,Sundays at 00,"Aniplex,       bilibili",Aniplex of America,TROYCA,Visual novel,,,,24 min. per ep.,PG-13 - Teens 13 or older,"7.181 (scored by 2067620,676 users)
      


1
          indicates a weighted score.","#34882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2691,"73,273",384,"DramaDrama,         RomanceRomance,         Sci-FiSci-Fi",,,,
