,jp_title,en_title,char_name,fav,img
0,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,Kanao Tsuyuri (栗花落 カナヲ),"Member Favorites: 2,687",https://cdn.myanimelist.net/images/characters/2/384712.jpg
1,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2,Zeke  (ジーク),"Member Favorites: 2,910",https://cdn.myanimelist.net/images/characters/13/489878.jpg
2,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,Kaname  (要),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/6/469593.jpg
3,Arifureta Shokugyou de Sekai Saikyou 2nd Season,Arifureta: From Commonplace to World's Strongest Season 2,Kousuke Endou (遠藤 浩介),Member Favorites: 10,https://cdn.myanimelist.net/images/characters/6/391983.jpg
4,Tensai Ouji no Akaji Kokka Saisei Jutsu,The Genius Prince's Guide to Raising a Nation Out of Debt,Caldmellia  (カルドメリア),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/9/462114.jpg
5,Vanitas no Karte Part 2,The Case Study of Vanitas Part 2,Vampire of the Blue Moon  (蒼月の吸血鬼),Member Favorites: 51,https://cdn.myanimelist.net/images/characters/10/471675.jpg
6,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,How a Realist Hero Rebuilt the Kingdom Part 2,Jeanne Euphoria (ジャンヌ＝ユーフォリア),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/12/434436.jpg
7,Shikkakumon no Saikyou Kenja,The Strongest Sage with the Weakest Crest,Dokiel Melkia ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/485697.jpg
8,Sabikui Bisco,,Plum  (プラム),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/464382.jpg
9,Sasaki to Miyano,Sasaki and Miyano,Kyouji Shirahama (白浜 恭司),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/12/466851.jpg
10,Akebi-chan no Sailor-fuku,Akebi's Sailor Uniform,Kei Tanigawa (谷川 景),Member Favorites: 10,https://cdn.myanimelist.net/images/characters/5/475971.jpg
11,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san 3,Tanabe-sensei  (田辺先生),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/5/351653.jpg
12,Fantasy Bishoujo Juniku Ojisan to,Life with an Ordinary Guy who Reincarnated into a Total Fantasy Knockout,Goddess of Love and Beauty  (愛と美の女神),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/9/456919.jpg
13,Koroshi Ai,Love of Kill,Shady Doctor  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/525369.jpg
14,Leadale no Daichi nite,In the Land of Leadale,Roxine  (ロクシーヌ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/467092.jpg
15,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,Emera  (エメラ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/458481.jpg
16,Princess Connect! Re:Dive Season 2,,Ameth  (アメス),Member Favorites: 21,https://cdn.myanimelist.net/images/characters/2/409063.jpg
17,Orient,,Tatsuomi Uesugi (上杉 竜臣),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/13/467782.jpg
18,Heike Monogatari,The Heike Story,Sanemori Saitou (斎藤 実盛),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/480445.jpg
19,Ryman's Club,Salaryman's Club,Naohiro Izumo (出雲 尚弘),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/464499.jpg
20,Tokyo 24-ku,Tokyo 24th Ward,Sakiko Tsuzuragawa (黒葛川 早紀子),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/10/461689.jpg
21,Slow Loop,,Yamazaki  (山崎),Member Favorites: 0,
22,Baraou no Souretsu,Requiem of the Rose King,Joan of Arc  (ジャンヌダルク),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/7/485692.jpg
23,Kaijin Kaihatsu-bu no Kuroitsu-san,Miss Kuroitsu from the Monster Development Department,Elbucky  (エルバッキー),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/14/464712.jpg
24,Hakozume: Kouban Joshi no Gyakushuu,Police in a Pod,Seiji Minamoto (源 誠二),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/456565.jpg
25,Dolls' Frontline,Girls' Frontline,WA2000  ,Member Favorites: 12,https://cdn.myanimelist.net/images/characters/3/470181.jpg
26,Tribe Nine,,Tenshin Otori (鳳天心),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/9/455161.jpg
27,Futsal Boys!!!!!,,Souya Akizuki (秋月 奏夜),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/2/462372.jpg
28,Cue!,,Miharu Yomine (夜峰 美晴),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/5/492085.jpg
29,Shenmue the Animation,,Yuan  (ユアン),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/471741.jpg
30,Gensou Sangokushi: Tengen Reishinki,Fantasia Sango: Realm of Legends,Shunkyou  (洵喬),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/449570.jpg
31,Saiyuuki Reload: Zeroin,,Jeep  ,Member Favorites: 6,https://cdn.myanimelist.net/images/characters/6/16366.jpg
32,Irodorimidori,,Nachi Tsukisuzu ,Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/350543.jpg
33,Delicious Party♡Precure,Delicious Party Pretty Cure,Pam-Pam  (パムパム),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/13/462045.jpg
34,Yami Shibai 10,Theatre of Darkness: Yamishibai 10,Storyteller  (紙芝居屋),Member Favorites: 72,https://cdn.myanimelist.net/images/characters/4/259167.jpg
35,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,I'm Kodama Kawashiri,Kodama Kawashiri (川尻 こだま),Member Favorites: 13,https://cdn.myanimelist.net/images/characters/11/462080.jpg
36,Sabiiro no Armor: Reimei,Rusted Armors,Tsurukubi  (鶴首),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/458940.jpg
37,Ninjala (TV),,Burton  (バートン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/537940.jpg
38,On Air Dekinai!,,Director Onigawara  (鬼河原ディレクター),Member Favorites: 0,
39,Garugaku. II: Lucky Stars,,Takeo Morimura (森村 タケオ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/459878.jpg
40,Teikou Penguin (TV),,,,
41,Akachan Honbuchou 2nd Season,Baby in Charge 2nd Season,General Manager Takeda (武田本部長),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/486716.jpg
42,Zannen na Ikimono Jiten (2022),Encyclopedia of Pitiful Creatures (2022),,,
43,Akachan Honbuchou 3rd Season,,,,
44,Baempaieosonyeo Dalja,,,,
45,Jifeng Jingshe,,,,
46,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,180",https://cdn.myanimelist.net/images/characters/15/307148.jpg
47,Boruto: Naruto Next Generations,,Gaara  (我愛羅),"Member Favorites: 13,088",https://cdn.myanimelist.net/images/characters/10/293375.jpg
48,Ousama Ranking,Ranking of Kings,Miranjo  (魔法の鏡),Member Favorites: 33,https://cdn.myanimelist.net/images/characters/14/451509.jpg
49,86 Part 2,86 Eighty-Six Part 2,Haruto Keats (ハルト・キーツ),Member Favorites: 55,https://cdn.myanimelist.net/images/characters/15/481807.jpg
50,Platinum End,,Hajime Sokotani (底谷 一),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/16/366667.jpg
51,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
52,Shaman King (2021),,Lyserg Diethel (リゼルグ・ダイゼル),Member Favorites: 103,https://cdn.myanimelist.net/images/characters/7/110874.jpg
53,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
54,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,Vearn  (バーン),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/11/545516.jpg
55,Hanyou no Yashahime: Sengoku Otogizoushi - Ni no Shou,Yashahime: Princess Half-Demon: The Second Act,Shippou  (七宝),Member Favorites: 427,https://cdn.myanimelist.net/images/characters/5/53722.jpg
56,Blade Runner: Black Lotus,,Alani Davis ,Member Favorites: 0,
57,Digimon Ghost Game,,Piemon  (ピエモン),Member Favorites: 12,https://cdn.myanimelist.net/images/characters/7/170065.jpg
58,Lupin III: Part 6,Lupin the Third Part 6,Cosplayer  (コスプレイヤー)),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/477094.jpg
59,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,Nanaho Nanahoshi (七星 ナナホ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/16/495474.jpg
60,Sazae-san,Mrs. Sazae,Ikura Namino (波野 イクラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/568770.jpg
61,Chibi Maruko-chan (1995),Little Miss Maruko,Sueo Maruo (丸尾 末男),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/369533.jpg
62,Waccha PriMagi!,,Hughie  (ひゅーい),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/8/466164.jpg
63,Bonobono (TV 2016),Bono Bono,Araiguma-kun no Otousan  (アライグマくんのお父さん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/369480.jpg
64,Shikaru Neko,,,,
65,Mazica Party,,Disco  (ディスコウ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/436833.jpg
66,Okashi na Sabaku no Suna to Manu,,Suna  (スナ),Member Favorites: 0,
67,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
68,Chickip Dancers,,Dango  (だんご),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/453228.jpg
69,Shiawase Haitatsu Taneko,,,,
70,Uchuu Nanchara Kotetsu-kun,Space Academy,Niko  (ニコ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/436984.jpg
71,Manul no Yuube,,,,
72,Shin Nippon History,,,,
73,Banjjagbanjjag Catch! Tiniping,Twinkle Catch! Tiniping,Romi  (로미),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/559488.jpg
