,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme
33,2021,winter,Wave!! Surfing Yappe!! (TV),WAVE!! -Let's go surfing!!-,https://cdn.myanimelist.net/images/anime/1807/113870.jpg,,WAVE!!〜サーフィンやっぺ!!〜,WAVE!! -Let's go surfing!!-,Wave!! -Let´s go surfing!!-,Wave!! -Let´s go surfing!!-,Wave!! -Let´s go surfing!!-,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 02,Delfi Sound,"None found, add some",Asahi Production,Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,"5.861 (scored by 1520915,209 users)
      


1
          indicates a weighted score.","#106142

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3290,"50,792",204,SportsSports,
34,2021,winter,Skate-Leading☆Stars,Skate-Leading Stars,https://cdn.myanimelist.net/images/anime/1807/106481.jpg,,スケートリーディング☆スターズ,Skate-Leading Stars,Skate-Leading Stars,,Skate-Leading Stars,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 22,"None found, add some",Funimation,J.C.Staff,Original,,"Performing ArtsPerforming Arts,         SchoolSchool,         Team SportsTeam Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"6.451 (scored by 1346913,469 users)
      


1
          indicates a weighted score.","#73942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3586,"43,494",157,SportsSports,
35,2021,winter,Back Arrow,,https://cdn.myanimelist.net/images/anime/1373/111546.jpg,,バック・アロウ,Back Arrow,,,,TV,24,Finished Airing,"Jan 9, 2021 to Jun 19, 2021",Winter 2021,Saturdays at 00,"Aniplex,       Movic,       BS11,       ABC Animation,       Legs,       Bandai Spirits",Funimation,Studio VOLN,Original,"ActionAction,         FantasyFantasy",,,23 min. per ep.,R+ - Mild Nudity,"6.331 (scored by 1430414,304 users)
      


1
          indicates a weighted score.","#80742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3597,"43,269",103,,MechaMecha
36,2021,winter,Project Scard: Praeter no Kizu,Scar on the Praeter,https://cdn.myanimelist.net/images/anime/1239/111647.jpg,Project Scard,PROJECT SCARD プレイタの傷,Scar on the Praeter,Project Scard,,Project Scard,TV,13,Finished Airing,"Jan 9, 2021 to Apr 3, 2021",Winter 2021,Saturdays at 01,"Frontier Works,       Glovision,       Soranone",Funimation,GoHands,Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,"5.921 (scored by 86828,682 users)
      


1
          indicates a weighted score.","#103462

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3960,"35,651",145,ActionAction,Super PowerSuper Power
37,2021,winter,Majutsushi Orphen Hagure Tabi: Kimluck-hen,Sorcerous Stabber Orphen: Battle of Kimluck,https://cdn.myanimelist.net/images/anime/1579/113945.jpg,"Majutsushi Orphen Hagure Tabi 2nd Season, Sorcerous Stabber Orphen 2nd Season, Sorcerous Stabber Orphen",魔術士オーフェンはぐれ旅 キムラック編,Sorcerous Stabber Orphen,Sorcerous Stabber Orphen,,Sorcerous Stabber Orphen,TV,11,Finished Airing,"Jan 20, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 21,"Genco,       Lantis,       MediaNet Pictures",Funimation,Studio Deen,Light novel,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.191 (scored by 87978,797 users)
      


1
          indicates a weighted score.","#88872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4201,"31,427",90,,Martial ArtsMartial Arts
38,2021,winter,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,https://cdn.myanimelist.net/images/anime/1355/111545.jpg,The caterer at the Maiko Manor,舞妓さんちのまかないさん,Kiyo in Kyoto,Kiyo in Kyoto,Kiyo in Kyoto,Kiyo in Kyoto,TV,12,Finished Airing,"Feb 25, 2021 to Jan 27, 2022",Winter 2021,Thursdays at 08,"NHK,       NHK Enterprises","None found, add some",J.C.Staff,Manga,"GourmetGourmet,         Slice of LifeSlice of Life","EducationalEducational,         IyashikeiIyashikei,         WorkplaceWorkplace",ShounenShounen,25 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 47014,701 users)
      


1
          indicates a weighted score.","#42532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5166,"19,674",68,,
39,2021,winter,I★Chu: Halfway Through the Idol,,https://cdn.myanimelist.net/images/anime/1212/113946.jpg,,アイ★チュウ HALFWAY THROUGH THE IDOL,,,,,TV,12,Finished Airing,"Jan 6, 2021 to Mar 24, 2021",Winter 2021,Wednesdays at 23,"Half H.P Studio,       Twin Engine",Muse Communication,Lay-duce,Game,,"Idols (Male)Idols (Male),         MusicMusic,         SchoolSchool",,24 min. per ep.,PG-13 - Teens 13 or older,"6.561 (scored by 53385,338 users)
      


1
          indicates a weighted score.","#67252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5399,"17,562",119,,
40,2021,winter,Yami Shibai 8,Theatre of Darkness: Yamishibai 8,https://cdn.myanimelist.net/images/anime/1311/110392.jpg,Yamishibai,闇芝居 8期,Theatre of Darkness,Theatre of Darkness,Theatre of Darkness,Theatre of Darkness,TV,13,Finished Airing,"Jan 11, 2021 to Apr 5, 2021",Winter 2021,Mondays at 03,TV Tokyo,"None found, add some","ILCA,       DRAWIZ,       Toho Interactive Animation",Original,"Avant GardeAvant Garde,         HorrorHorror,         SupernaturalSupernatural",,,4 min. per ep.,PG-13 - Teens 13 or older,"5.821 (scored by 66956,695 users)
      


1
          indicates a weighted score.","#108352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5523,"16,531",22,,
41,2021,winter,Soukou Musume Senki,LBX Girls,https://cdn.myanimelist.net/images/anime/1532/110186.jpg,,装甲娘戦機,LBX Girls,LBX Girls,,LBX Girls,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 00,DMM Music,Funimation,Studio A-CAT,Game,"ActionAction,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"5.781 (scored by 47584,758 users)
      


1
          indicates a weighted score.","#110422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5525,"16,519",37,,MilitaryMilitary
42,2021,winter,Gekidol: Actidol Project,Gekidol,https://cdn.myanimelist.net/images/anime/1195/111544.jpg,,ゲキドル,Gekidol,,,,TV,12,Finished Airing,"Jan 5, 2021 to Mar 3, 2021",Winter 2021,Tuesdays at 21,"None found, add some",Funimation,Hoods Entertainment,Original,"DramaDrama,         Sci-FiSci-Fi","Idols (Female)Idols (Female),         MusicMusic,         Performing ArtsPerforming Arts",,23 min. per ep.,PG-13 - Teens 13 or older,"5.501 (scored by 53685,368 users)
      


1
          indicates a weighted score.","#121192

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5547,"16,348",26,,
43,2021,winter,Yatogame-chan Kansatsu Nikki Sansatsume,,https://cdn.myanimelist.net/images/anime/1389/111080.jpg,,八十亀ちゃんかんさつにっき 3さつめ,,Yatogame-chan Kansatsu Nikki 3,Yatogame-chan Kansatsu Nikki 3,Yatogame-chan Kansatsu Nikki Saison 3,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 21,LEVELS,"None found, add some",Saetta,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,ShounenShounen,3 min. per ep.,PG-13 - Teens 13 or older,"6.381 (scored by 57885,788 users)
      


1
          indicates a weighted score.","#78382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5703,"15,247",16,,SchoolSchool
44,2021,winter,Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,,トロピカル～ジュ！プリキュア,Tropical-Rouge! Pretty Cure,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TV,46,Finished Airing,"Feb 28, 2021 to Jan 30, 2022",Winter 2021,Sundays at 08,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,,,,24 min. per ep.,G - All Ages,"7.391 (scored by 45434,543 users)
      


1
          indicates a weighted score.","#23982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5864,"14,126",147,ActionAction,Mahou ShoujoMahou Shoujo
45,2021,winter,Show by Rock!! Stars!!,,https://cdn.myanimelist.net/images/anime/1713/106712.jpg,,SHOW BY ROCK!! STARS!!,,,,,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 22,"Dentsu,       Square Enix,       Pony Canyon,       Sanrio,       KlockWorx,       BS Fuji,       81 Produce,       Tokyo MX,       Hokkaido Cultural Broadcasting,       Sammy,       FuRyu,       Sony Music Solutions",Funimation,Kinema Citrus,Game,"ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.141 (scored by 37713,771 users)
      


1
          indicates a weighted score.","#36912

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6031,"13,170",50,,MusicMusic
46,2021,winter,World Witches Hasshin Shimasu!,World Witches Take Off!,https://cdn.myanimelist.net/images/anime/1132/110412.jpg,,ワールドウィッチーズ発進しますっ！,World Witches Take Off!,World Witches,,,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 00,"Nippon Columbia,       Glovision","None found, add some","Acca effe,       Giga Production",Original,,"CGDCTCGDCT,         MilitaryMilitary",,15 min. per ep.,PG-13 - Teens 13 or older,"6.491 (scored by 33753,375 users)
      


1
          indicates a weighted score.","#71292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6099,"12,757",17,ComedyComedy,
47,2021,winter,WIXOSS Diva(A)Live,,https://cdn.myanimelist.net/images/anime/1779/110807.jpg,,WIXOSS DIVA(A)LIVE（ウィクロス ディーヴァアライブ）,,,,,TV,12,Finished Airing,"Jan 9, 2021 to Mar 27, 2021",Winter 2021,Saturdays at 00,"None found, add some","None found, add some",J.C.Staff,Card game,,,,23 min. per ep.,PG-13 - Teens 13 or older,"5.601 (scored by 33933,393 users)
      


1
          indicates a weighted score.","#118122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#6410,"11,296",20,,Strategy GameStrategy Game
48,2021,winter,D4DJ Petit Mix,,https://cdn.myanimelist.net/images/anime/1089/113814.jpg,Pucchimiku D4DJ Petit Mix,ぷっちみく♪,D4DJ Petit Mix,,,,TV,26,Finished Airing,"Feb 5, 2021 to Jul 30, 2021",Winter 2021,Fridays at 23,"None found, add some","None found, add some","W-Toon Studio,       DMM.futureworks",Mixed media,,,,3 min. per ep.,PG-13 - Teens 13 or older,"6.981 (scored by 30183,018 users)
      


1
          indicates a weighted score.","#44742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7611,"7,389",27,ComedyComedy,MusicMusic
49,2021,winter,Shin Chuuka Ichiban! 2nd Season,,https://cdn.myanimelist.net/images/anime/1503/109131.jpg,Shin Chuuka Ichiban! Second Season,真・中華一番!,,True Cooking Master Boy Staffel 2,True Cooking Master Boy Temporada 2,True Cooking Master Boy Saison 2,TV,12,Finished Airing,"Jan 11, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 01,Kodansha,"None found, add some","Production I.G,       Nihon Ad Systems",Manga,"ComedyComedy,         GourmetGourmet",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.681 (scored by 19201,920 users)
      


1
          indicates a weighted score.","#60482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8257,"6,061",12,,
50,2021,winter,Idolls!,,https://cdn.myanimelist.net/images/anime/1886/119199.jpg,Idolls!,アイドールズ!,,,,,TV,10,Finished Airing,"Jan 8, 2021 to Mar 12, 2021",Winter 2021,Unknown,"81 Produce,       RAY,       Stray Cats,       BS Asahi","None found, add some",Shin-Ei Animation,Original,,"Idols (Female)Idols (Female),         MusicMusic",,8 min. per ep.,PG-13 - Teens 13 or older,"5.071 (scored by 23542,354 users)
      


1
          indicates a weighted score.","#131232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#8646,"5,448",12,,
51,2021,winter,Aikatsu Planet!,,https://cdn.myanimelist.net/images/anime/1319/111189.jpg,,アイカツプラネット！,,,,,TV,24,Finished Airing,"Jan 10, 2021 to Jun 27, 2021",Winter 2021,Sundays at 07,Sunrise Music,"None found, add some",Bandai Namco Pictures,Game,,"Idols (Female)Idols (Female),         MusicMusic,         SchoolSchool",,10 min. per ep.,PG - Children,"6.551 (scored by 12641,264 users)
      


1
          indicates a weighted score.","#67832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#9406,"4,256",27,Slice of LifeSlice of Life,
52,2021,winter,Abciee Shuugyou Nikki,ABCiee Working Diary,https://cdn.myanimelist.net/images/anime/1548/110221.jpg,,エビシー修業日記,ABCiee Working Diary,ABCiee Working Diary,ABCiee Working Diary,ABCiee Working Diary,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 01,ABC Animation,"None found, add some",Fanworks,Other,,,,2 min. per ep.,PG - Children,"5.451 (scored by 15491,549 users)
      


1
          indicates a weighted score.","#122592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10310,"3,187",4,ComedyComedy,WorkplaceWorkplace
53,2021,winter,Okashi na Sabaku no Suna to Manu,,https://cdn.myanimelist.net/images/anime/1208/111257.jpg,,おかしなさばくのスナとマヌ,,,,,TV,50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",Winter 2021,Sundays at 03,CHANCE iN,"None found, add some",Kachidoki Studio,Manga,,,,1 min. per ep.,PG - Children,"5.711 (scored by 227227 users)
      


1
          indicates a weighted score.","#113232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#12330,"1,729",6,ComedyComedy,
54,2021,winter,Kindan Joshi,,https://cdn.myanimelist.net/images/anime/1102/111039.jpg,,禁男女子,,,,,TV,5,Finished Airing,"Dec 29, 2020 to Jan 3, 2021",Winter 2021,Tuesdays at 01,"Bandai,       Chukyo TV Broadcasting,       FIREBUG","None found, add some","None found, add some",Original,"ComedyComedy,         RomanceRomance",,,5 min. per ep.,PG-13 - Teens 13 or older,"4.941 (scored by 175175 users)
      


1
          indicates a weighted score.","#132702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14942,822,4,,
55,2021,winter,Akachan Honbuchou,Baby in Charge,https://cdn.myanimelist.net/images/anime/1585/113558.jpg,General Manager of Baby,赤ちゃん本部長,Baby in Charge,,,,TV,8,Finished Airing,"Mar 29, 2021",Winter 2021,Not scheduled once per week,"NHK,       NHK Enterprises","None found, add some",Tomovies,Manga,,,SeinenSeinen,5 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#191302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#16421,567,2,ComedyComedy,WorkplaceWorkplace
56,2021,winter,Kintamani Dog,,https://cdn.myanimelist.net/images/anime/1815/120757.jpg,,キンタマーニドッグ,,,,,TV,50,Finished Airing,"Jan 14, 2021 to Dec 26, 2021",Winter 2021,Unknown,"None found, add some","None found, add some",Kachidoki Studio,Original,,,,1 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#169512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20666,245,0,Slice of LifeSlice of Life,
57,2021,winter,Zannen na Ikimono Jiten (2021),Encyclopedia of Pitiful Creatures (2021),https://cdn.myanimelist.net/images/anime/1396/124383.jpg,,ざんねんないきもの事典 (2021),Encyclopedia of Pitiful Creatures (2021),,,,TV,5,Finished Airing,"Jan 31, 2021 to Feb 28, 2021",Winter 2021,Unknown,"NHK,       Fanworks,       NHK Enterprises","None found, add some","None found, add some",Picture book,,,,5 min. per ep.,PG - Children,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#162012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20809,238,0,ComedyComedy,EducationalEducational
58,2021,winter,Ooya-san to Boku 3rd Season,,https://cdn.myanimelist.net/images/anime/1356/131374.jpg,,大家さんと僕,,,,,TV,5,Finished Airing,"Mar 24, 2021 to Mar 25, 2021",Winter 2021,Not scheduled once per week,NHK,"None found, add some",Fanworks,Manga,,,,5 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#183692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#22049,171,0,Slice of LifeSlice of Life,
59,2021,winter,Jujutsu Kaisen,,https://cdn.myanimelist.net/images/anime/1171/109222.jpg,"Sorcery Fight, JJK",呪術廻戦,Jujutsu Kaisen,Jujutsu Kaisen,Jujutsu Kaisen,Jujutsu Kaisen,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01,"Mainichi Broadcasting System,       TOHO animation,       Shueisha,       dugout,       Sumzap",VIZ Media,MAPPA,Manga,"ActionAction,         Award WinningAward Winning,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.561 (scored by 18097841,809,784 users)
      


1
          indicates a weighted score.","#1102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13,"2,755,845","93,161",,SchoolSchool
60,2021,winter,One Piece,,https://cdn.myanimelist.net/images/anime/1244/138851.jpg,OP,ONE PIECE,One Piece,,,,TV,Unknown,Currently Airing,"Oct 20, 1999 to ?",Fall 1999,Sundays at 09,"Fuji TV,       TAP,       Shueisha","Funimation,       4Kids Entertainment",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.731 (scored by 14167831,416,783 users)
      


1
          indicates a weighted score.","#502

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#17,"2,491,944","234,234",,
61,2021,winter,Black Clover,,https://cdn.myanimelist.net/images/anime/2/88336.jpg,,ブラッククローバー,Black Clover,,,,TV,170,Finished Airing,"Oct 3, 2017 to Mar 30, 2021",Fall 2017,Tuesdays at 18,"TV Tokyo,       Avex Pictures,       Shueisha","Funimation,       Crunchyroll",Pierrot,Manga,"ActionAction,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.141 (scored by 908248908,248 users)
      


1
          indicates a weighted score.","#4742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#57,"1,768,552","48,404",,
62,2021,winter,Boruto: Naruto Next Generations,,https://cdn.myanimelist.net/images/anime/1091/99847.jpg,,BORUTO -NARUTO NEXT GENERATIONS-,Boruto,,,,TV,293,Finished Airing,"Apr 5, 2017 to Mar 26, 2023",Spring 2017,Sundays at 17,"TV Tokyo,       Aniplex,       Rakuonsha,       Shueisha",VIZ Media,Pierrot,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.001 (scored by 456508456,508 users)
      


1
          indicates a weighted score.","#99122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#208,"894,492","7,375",,Martial ArtsMartial Arts
63,2021,winter,Meitantei Conan,Case Closed,https://cdn.myanimelist.net/images/anime/7/75199.jpg,Detective Conan,名探偵コナン,Case Closed,Case Closed,,,TV,Unknown,Currently Airing,"Jan 8, 1996 to ?",Winter 1996,Saturdays at 18,"Yomiuri Telecasting,       Shogakukan,       Audio Planning U,       Tokyo Movie,       Polydor Records","Funimation,       Crunchyroll",TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         MysteryMystery",,ShounenShounen,24 min.,PG-13 - Teens 13 or older,"8.171 (scored by 164197164,197 users)
      


1
          indicates a weighted score.","#4352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#703,"360,470","15,311",,DetectiveDetective
64,2021,winter,Higurashi no Naku Koro ni Gou,Higurashi: When They Cry – Gou,https://cdn.myanimelist.net/images/anime/1716/111533.jpg,"When They Cry, Higurashi",ひぐらしのなく頃に業,Higurashi,Higurashi,Cuando las Cigarras Lloran,Higurashi,TV,24,Finished Airing,"Oct 1, 2020 to Mar 19, 2021",Fall 2020,Thursdays at 23,"Frontier Works,       Sotsu,       MAGES.,       Tokyo MX,       Infinite,       BS11,       Daiichi Shokai,       Kadokawa,       ELF-IN",Funimation,Passione,Visual novel,"HorrorHorror,         MysteryMystery,         SuspenseSuspense","GoreGore,         PsychologicalPsychological",,23 min. per ep.,R - 17+ (violence & profanity),"7.201 (scored by 9630096,300 users)
      


1
          indicates a weighted score.","#33622

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#900,"288,572","1,602",,
65,2021,winter,Hanyou no Yashahime: Sengoku Otogizoushi,Yashahime: Princess Half-Demon,https://cdn.myanimelist.net/images/anime/1005/114781.jpg,,半妖の夜叉姫 -戦国御伽草子-,Yashahime,Yashahime,Yashahime,Yashahime,TV,24,Finished Airing,"Oct 3, 2020 to Mar 20, 2021",Fall 2020,Saturdays at 17,"Shogakukan,       Yomiuri TV Enterprise",VIZ Media,Sunrise,Original,"ActionAction,         AdventureAdventure,         FantasyFantasy","HistoricalHistorical,         MythologyMythology,         Time TravelTime Travel",,24 min. per ep.,PG-13 - Teens 13 or older,"6.701 (scored by 3843838,438 users)
      


1
          indicates a weighted score.","#59282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1861,"127,860",653,,
66,2021,winter,Kingdom 3rd Season,Kingdom: Season 3,https://cdn.myanimelist.net/images/anime/1443/111830.jpg,,キングダム 第3シリーズ,Kingdom,,,,TV,26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",Spring 2020,Mondays at 00,Shueisha,Funimation,"Pierrot,       Studio Signpost",Manga,,"HistoricalHistorical,         MilitaryMilitary",SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity),"8.831 (scored by 4576645,766 users)
      


1
          indicates a weighted score.","#302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2033,"113,997","2,345",ActionAction,
67,2021,winter,Crayon Shin-chan,Shin Chan,https://cdn.myanimelist.net/images/anime/10/59897.jpg,,クレヨンしんちゃん,Shin Chan,Shin Chan,Shin Chan,,TV,Unknown,Currently Airing,"Apr 13, 1992 to ?",Spring 1992,Fridays at 19,TV Asahi,Funimation,Shin-Ei Animation,Manga,"ComedyComedy,         EcchiEcchi",,SeinenSeinen,21 min.,G - All Ages,"7.801 (scored by 4214242,142 users)
      


1
          indicates a weighted score.","#10282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2398,"87,940","1,329",,SchoolSchool
68,2021,winter,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,https://cdn.myanimelist.net/images/anime/1499/109126.jpg,Dragon Quest,ドラゴンクエスト ダイの大冒険,Dragon Quest,Dragon Quest,Dragon Quest,Dragon Quest,TV,100,Finished Airing,"Oct 3, 2020 to Oct 22, 2022",Fall 2020,Saturdays at 09,"TV Tokyo,       Square Enix,       Shueisha","None found, add some",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.731 (scored by 2596225,962 users)
      


1
          indicates a weighted score.","#12182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2613,"76,566",644,,
69,2021,winter,King's Raid: Ishi wo Tsugumono-tachi,King's Raid: Successors of the Will,https://cdn.myanimelist.net/images/anime/1885/109122.jpg,,キングスレイド 意志を継ぐものたち,King's Raid,King’s Raid,,King’s Raid,TV,26,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01,"None found, add some",Funimation,"OLM,       Sunrise Beyond",Game,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"6.041 (scored by 2138321,383 users)
      


1
          indicates a weighted score.","#97182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2654,"74,811",163,,
70,2021,winter,Osomatsu-san 3rd Season,,https://cdn.myanimelist.net/images/anime/1290/113445.jpg,Mr. Osomatsu 3,おそ松さん 第3期,,Mr. Osomatsu Staffel 3,Mr. Osomatsu Temporada 3,Osomatsu-san Saison 3,TV,25,Finished Airing,"Oct 13, 2020 to Mar 30, 2021",Fall 2020,Tuesdays at 01,"TV Tokyo,       Dentsu,       Rakuonsha,       Avex Pictures,       Daiichi Shokai","None found, add some",Pierrot,Manga,,"Gag HumorGag Humor,         ParodyParody",,23 min. per ep.,R - 17+ (violence & profanity),"7.401 (scored by 84058,405 users)
      


1
          indicates a weighted score.","#23552

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4751,"24,097",111,ComedyComedy,
71,2021,winter,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,https://cdn.myanimelist.net/images/anime/1148/106883.jpg,Yuu Gi Ou!,遊☆戯☆王 SEVENS,Yu-Gi-Oh! Sevens,,,,TV,92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022",Spring 2020,Saturdays at 07,"TV Tokyo,       Konami,       Shueisha,       Konami Cross Media NY","None found, add some",Bridge,Card game,"ActionAction,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.201 (scored by 49084,908 users)
      


1
          indicates a weighted score.","#88642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5260,"18,794",88,,Strategy GameStrategy Game
72,2021,winter,Shadowverse,,https://cdn.myanimelist.net/images/anime/1003/106498.jpg,,シャドウバース,,Shadowverse,Shadowverse,Shadowverse,TV,48,Finished Airing,"Apr 7, 2020 to Mar 23, 2021",Spring 2020,Tuesdays at 17,"TV Tokyo,       Sonilude","None found, add some",Zexcs,Card game,,,,24 min. per ep.,PG-13 - Teens 13 or older,"5.751 (scored by 51855,185 users)
      


1
          indicates a weighted score.","#111602

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5451,"17,118",36,FantasyFantasy,Strategy GameStrategy Game
73,2021,winter,Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,"With a Dog AND a Cat, Every Day is Fun",https://cdn.myanimelist.net/images/anime/1332/109356.jpg,,犬と猫どっちも飼ってると毎日たのしい,"With a Dog AND a Cat, Every Day is Fun","With a Dog AND a Cat, Evey Day is Fun","With a Dog AND a Cat, Every Day is Fun","With a Dog AND a Cat, Every Day is Fun",TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021",Fall 2020,Saturdays at 01,"Half H.P Studio,       studioGONG","None found, add some",Team TillDawn,Web manga,"ComedyComedy,         Slice of LifeSlice of Life",,,1 min. per ep.,G - All Ages,"7.231 (scored by 82148,214 users)
      


1
          indicates a weighted score.","#31962

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5593,"15,984",44,,PetsPets
