,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Genre
51,2021,summer,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,https://cdn.myanimelist.net/images/anime/1148/106883.jpg,Yuu Gi Ou!,遊☆戯☆王 SEVENS,Yu-Gi-Oh! Sevens,,,,TV,92,Finished Airing,"Apr 4, 2020 to Mar 27, 2022",Spring 2020,Saturdays at 07,"TV Tokyo,       Konami,       Shueisha,       Konami Cross Media NY","None found, add some",Bridge,Card game,"ActionAction,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"6.201 (scored by 49084,908 users)
      


1
          indicates a weighted score.","#88642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5260,"18,794",88,Strategy GameStrategy Game,
52,2021,summer,Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,,トロピカル～ジュ！プリキュア,Tropical-Rouge! Pretty Cure,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TROPICAL-ROUGE! PRETTY CURE,TV,46,Finished Airing,"Feb 28, 2021 to Jan 30, 2022",Winter 2021,Sundays at 08,"ABC Animation,       ADK Emotions","None found, add some",Toei Animation,Original,,,,24 min. per ep.,G - All Ages,"7.391 (scored by 45434,543 users)
      


1
          indicates a weighted score.","#23982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#5864,"14,126",147,Mahou ShoujoMahou Shoujo,ActionAction
53,2021,summer,Sazae-san,Mrs. Sazae,https://cdn.myanimelist.net/images/anime/1008/98996.jpg,,サザエさん,Mrs. Sazae,,,,TV,Unknown,Currently Airing,"Oct 5, 1969 to ?",Fall 1969,Sundays at 18,Fuji TV,"None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,,24 min.,G - All Ages,"6.141 (scored by 19341,934 users)
      


1
          indicates a weighted score.","#91842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7123,"8,791",39,,
54,2021,summer,Chibi Maruko-chan (1995),Little Miss Maruko,https://cdn.myanimelist.net/images/anime/1108/100604.jpg,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,,Chibi Maruko-chan,,TV,Unknown,Currently Airing,"Jan 8, 1995 to ?",Winter 1995,Sundays at 18,"Ajia-do,       Fuji TV,       Sakura Production","None found, add some",Nippon Animation,Manga,,,ShoujoShoujo,23 min.,G - All Ages,"7.341 (scored by 21732,173 users)
      


1
          indicates a weighted score.","#26382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#7913,"6,750",61,SchoolSchool,ComedyComedy
55,2021,summer,Bonobono (TV 2016),Bono Bono,https://cdn.myanimelist.net/images/anime/13/77617.jpg,,ぼのぼの,Bono Bono,Bono Bono,Bono Bono,Bono Bono,TV,Unknown,Currently Airing,"Apr 2, 2016 to ?",Spring 2016,Saturdays at 04,"Fuji TV,       Glovision","None found, add some",Eiken,4-koma manga,"ComedyComedy,         Slice of LifeSlice of Life",,,5 min.,G - All Ages,"6.371 (scored by 759759 users)
      


1
          indicates a weighted score.","#78892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#10226,"3,275",19,AnthropomorphicAnthropomorphic,
56,2021,summer,Shikaru Neko,,https://cdn.myanimelist.net/images/anime/1008/113384.jpg,,しかるねこ,,,,,TV,Unknown,Currently Airing,"Mar 22, 2021 to ?",Spring 2021,Unknown,"None found, add some","None found, add some","None found, add some",Manga,,,,30 sec.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11244,"2,432",17,,Slice of LifeSlice of Life
57,2021,summer,Dinosaur Biyori,,https://cdn.myanimelist.net/images/anime/1382/116139.jpg,,ダイナ荘びより,,,,,TV,26,Finished Airing,"Apr 4, 2021 to Sep 26, 2021",Spring 2021,Sundays at 00,"Aniplex,       Sony Music Entertainment,       Sony Creative Products","None found, add some",Fanworks,Original,,,,1 min. per ep.,G - All Ages,"5.971 (scored by 323323 users)
      


1
          indicates a weighted score.","#100492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#11633,"2,166",16,,Slice of LifeSlice of Life
58,2021,summer,Mazica Party,,https://cdn.myanimelist.net/images/anime/1740/113501.jpg,,マジカパーティ,,,,,TV,51,Finished Airing,"Apr 4, 2021 to Mar 27, 2022",Spring 2021,Sundays at 09,"Dentsu,       TV Osaka","None found, add some",OLM,Original,,,,24 min. per ep.,G - All Ages,"5.891 (scored by 263263 users)
      


1
          indicates a weighted score.","#104902

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#12206,"1,805",10,Strategy GameStrategy Game,FantasyFantasy
59,2021,summer,Okashi na Sabaku no Suna to Manu,,https://cdn.myanimelist.net/images/anime/1208/111257.jpg,,おかしなさばくのスナとマヌ,,,,,TV,50,Finished Airing,"Feb 14, 2021 to Feb 2, 2022",Winter 2021,Sundays at 03,CHANCE iN,"None found, add some",Kachidoki Studio,Manga,,,,1 min. per ep.,PG - Children,"5.711 (scored by 227227 users)
      


1
          indicates a weighted score.","#113232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#12330,"1,729",6,,ComedyComedy
60,2021,summer,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,https://cdn.myanimelist.net/images/anime/1097/108552.jpg,,せいぜいがんばれ！魔法少女くるみ,,,,,TV,25,Finished Airing,"Oct 7, 2020 to Sep 29, 2021",Fall 2020,Wednesdays at 23,Lantis,"None found, add some",Pie in the sky,Original,,"Mahou ShoujoMahou Shoujo,         ParodyParody",,4 min. per ep.,G - All Ages,"6.301 (scored by 153153 users)
      


1
          indicates a weighted score.","#82712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13185,"1,333",2,,
61,2021,summer,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,https://cdn.myanimelist.net/images/anime/6/72182.jpg,Kamiusagi Rope 4,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,,,,TV,Unknown,Currently Airing,"Nov 16, 2012 to ?",Fall 2012,Not scheduled once per week,"None found, add some","None found, add some","None found, add some",Original,"ComedyComedy,         Slice of LifeSlice of Life",,,2 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#167992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#13282,"1,294",0,,
62,2021,summer,Shiawase Haitatsu Taneko,,https://cdn.myanimelist.net/images/anime/2/28900.jpg,,しあわせ配達おみくじタネコ,,,,,TV,Unknown,Currently Airing,"Mar 26, 2011 to ?",Spring 2011,Not scheduled once per week,"None found, add some","None found, add some",Kachidoki Studio,Original,,,,Unknown,None,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#141742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14312,980,4,,ComedyComedy
63,2021,summer,Uchuu Nanchara Kotetsu-kun,Space Academy,https://cdn.myanimelist.net/images/anime/1226/112286.jpg,,宇宙なんちゃらこてつくん,Space Academy,,,,TV,64,Finished Airing,"Apr 7, 2021 to Feb 23, 2023",Spring 2021,Thursdays at 18,"None found, add some","None found, add some",Fanworks,Web manga,"ComedyComedy,         Sci-FiSci-Fi",,,9 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#150872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#14749,873,3,SpaceSpace,
64,2021,summer,Kaoru no Taisetsu na Mono,,https://cdn.myanimelist.net/images/anime/1352/109736.jpg,,カオルの大切なモノ,,,,,TV,50,Finished Airing,"Nov 18, 2020 to Oct 27, 2021",Fall 2020,Wednesdays at 23,CHANCE iN,"None found, add some",Kachidoki Studio,Original,,,,1 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#168212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#15752,658,0,,ComedyComedy
65,2021,summer,Manul no Yuube,,https://cdn.myanimelist.net/images/anime/1980/96936.jpg,,マヌ～ルのゆうべ,,,,,TV,Unknown,Currently Airing,"Nov 11, 2018 to ?",Fall 2018,Sundays at Unknown,NHK,"None found, add some","None found, add some",Web manga,,,,1 min.,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#175272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#15779,654,1,,Slice of LifeSlice of Life
66,2021,summer,Utau Soccer Panda Mifanda,,https://cdn.myanimelist.net/images/anime/1296/108533.jpg,,歌うサッカーパンダ ミファンダ,,,,,TV,12,Finished Airing,"Apr 2, 2021 to Sep 9, 2021",Spring 2021,Fridays at 03,"None found, add some","None found, add some","None found, add some",Other,,,,7 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#151532

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#16976,505,1,MusicMusic,Slice of LifeSlice of Life
67,2021,summer,Shin Nippon History,,https://cdn.myanimelist.net/images/anime/1433/134811.jpg,Shin Nippon History,新ニッポンヒストリー,,,,,TV,Unknown,Currently Airing,"Jan 6, 2020 to ?",Winter 2020,Mondays at 01,"None found, add some","None found, add some","None found, add some",Original,,,,23 min.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#142292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#18532,377,0,HistoricalHistorical,ComedyComedy
68,2021,summer,Kintamani Dog,,https://cdn.myanimelist.net/images/anime/1815/120757.jpg,,キンタマーニドッグ,,,,,TV,50,Finished Airing,"Jan 14, 2021 to Dec 26, 2021",Winter 2021,Unknown,"None found, add some","None found, add some",Kachidoki Studio,Original,,,,1 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#169512

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20666,245,0,,Slice of LifeSlice of Life
69,2021,summer,Ma-eum-uisoli Season 3,The Sound of Your Heart: Season 3,https://cdn.myanimelist.net/images/anime/1655/120892.jpg,,마음의 소리 시즌 3,The Sound of Your Heart,,,,TV,22,Finished Airing,"May 5, 2021 to Sep 29, 2021",Spring 2021,Wednesdays at Unknown,"None found, add some","None found, add some","None found, add some",Web manga,"ComedyComedy,         Slice of LifeSlice of Life",,,Unknown,PG-13 - Teens 13 or older,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#174272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#20689,244,2,,
70,2021,summer,In:App,,https://cdn.myanimelist.net/images/anime/1671/139079.jpg,,인앱,,,,,TV,56,Finished Airing,"Nov 21, 2020 to Dec 18, 2021",Fall 2020,Unknown,"None found, add some","None found, add some",ANYZAC,Original,"ActionAction,         ComedyComedy",,,7 min. per ep.,G - All Ages,"N/A1 (scored by - users)
      
1
          indicates a weighted score.","#214802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#23685,117,0,AnthropomorphicAnthropomorphic,
